"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift"
"consumer_country_Canada","Dimension","dbd_attach_rate_pre_and_post","","mean","0.041159","192,413","0.044060","192,496","0.002965","[+0.001911, +0.004018]","0.072028","[+4.6442%, +9.7615%]","0.000000","Significant","0.010882","0.000773","0.000032"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.005365","304,187","0.010078","303,276","0.004695","[+0.004306, +0.005084]","0.875164","[+80.2608%, +94.772%]","0.000000","Significant","0.017425","0.007885","0.000082"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.040350","23,005","0.043763","24,760","0.003405","[+0.000177, +0.006633]","0.084381","[+0.4386%, +16.4376%]","0.038694","Significant","0.017064","0.001408","0.000058"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_20_late","","mean","0.024845","110","0.028901","123","0.003694","[-0.030075, +0.037462]","0.148665","[-121.0505%, +150.7835%]","0.830251","-","0.000094","0.000000","0.000000"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_20_late","","mean","0.005495","126","0.036765","106","0.028253","[-0.010107, +0.066612]","5.141671","[-183.9284%, +1,212.2627%]","0.148860","-","0.000092","0.000056","0.000002"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_20_late","","mean","0.040660","22,826","0.043892","24,582","0.003232","[-0.000016, +0.006481]","0.079494","[-0.0403%, +15.9391%]","0.051166","-","0.016869","0.001323","0.000055"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.037598","5,964","0.040897","6,566","0.003299","[-0.003478, +0.010075]","0.087742","[-9.2492%, +26.7977%]","0.340006","-","0.003467","0.000278","0.000011"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.041036","17,406","0.044502","18,632","0.003441","[-0.000223, +0.007106]","0.083863","[-0.5429%, +17.3156%]","0.065653","-","0.013601","0.001133","0.000047"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.040577","20,973","0.043149","19,951","0.002568","[-0.001009, +0.006145]","0.063283","[-2.4876%, +15.1442%]","0.159450","-","0.013846","0.000860","0.000036"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.038885","2,939","0.045709","6,041","0.006016","[-0.001835, +0.013867]","0.154703","[-4.72%, +35.6607%]","0.133156","-","0.003429","0.000457","0.000019"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.036493","23,722","0.035533","25,526","-0.001066","[-0.004125, +0.001993]","-0.029216","[-11.3044%, +5.4611%]","0.494541","-","0.017218","-0.000661","-0.000018"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.037492","21,647","0.038061","20,625","0.000579","[-0.002911, +0.004069]","0.015441","[-7.7637%, +10.8519%]","0.745071","-","0.013997","0.000291","0.000008"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.030123","3,017","0.027356","6,192","-0.005066","[-0.011425, +0.001293]","-0.168185","[-37.9279%, +4.2909%]","0.118391","-","0.003434","-0.000572","-0.000016"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_cancellations","","mean","0.024242","112","0.049450","129","0.023663","[-0.013744, +0.061071]","0.976126","[-56.6949%, +251.9201%]","0.215033","-","0.000095","0.000077","0.000002"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_cancellations","","mean","0.052083","131","0.055556","111","0.001644","[-0.044997, +0.048285]","0.031565","[-86.3945%, +92.7075%]","0.944922","-","0.000095","0.000000","0.000000"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_cancellations","","mean","0.036474","23,536","0.035387","25,342","-0.001203","[-0.00428, +0.001873]","-0.032991","[-11.7333%, +5.1352%]","0.443295","-","0.017019","-0.000738","-0.000021"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.043443","6,199","0.042884","6,834","-0.000559","[-0.007813, +0.006695]","-0.012867","[-17.9848%, +15.4115%]","0.879959","-","0.003526","-0.000071","-0.000002"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.034730","17,899","0.033604","19,141","-0.001227","[-0.004568, +0.002113]","-0.035340","[-13.1532%, +6.0852%]","0.471476","-","0.013692","-0.000605","-0.000017"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.913054","23,727","4.924669","25,526","0.015958","[-0.039214, +0.071131]","0.003248","[-0.7982%, +1.4478%]","0.570776","-","0.017216","0.000065","0.000275"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","4.629454","6,200","4.589519","6,835","-0.039783","[-0.129028, +0.049462]","-0.008593","[-2.7871%, +1.0684%]","0.382284","-","0.003526","-0.000033","-0.000141"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","4.982822","17,903","5.009976","19,142","0.030257","[-0.034458, +0.094972]","0.006072","[-0.6915%, +1.906%]","0.359470","-","0.013691","0.000097","0.000414"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.934717","21,652","4.952043","20,628","0.012381","[-0.049241, +0.074002]","0.002509","[-0.9979%, +1.4996%]","0.693745","-","0.013997","0.000041","0.000173"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.762565","3,017","4.827245","6,190","0.119446","[+0.012989, +0.225903]","0.025080","[+0.2727%, +4.7433%]","0.027871","Significant","0.003433","0.000088","0.000374"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_dx_cost","","mean","5.360497","112","5.227479","128","-0.378745","[-1.198908, +0.441418]","-0.070655","[-22.3656%, +8.2346%]","0.365414","-","0.000094","-0.000008","-0.000034"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_dx_cost","","mean","5.715647","131","4.966458","111","-0.461971","[-1.857595, +0.933654]","-0.080826","[-32.5002%, +16.3351%]","0.516484","-","0.000095","-0.000009","-0.000039"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_dx_cost","","mean","4.904073","23,541","4.920442","25,344","0.019941","[-0.031226, +0.071109]","0.004066","[-0.6367%, +1.45%]","0.444956","-","0.017018","0.000080","0.000340"
"dbd_avg_o2_gov_1pc","Metric","N/A","","mean","16.946008","1,127","16.195069","1,293","-0.710972","[-1.814293, +0.392349]","-0.041955","[-10.7063%, +2.3153%]","0.206594","-","0.044366","-0.001671","-0.031301"
"dbd_avg_o2_gov_3pc","Metric","N/A","","mean","13.705161","6,171","13.730478","6,379","0.030408","[-0.430639, +0.491454]","0.002219","[-3.1422%, +3.5859%]","0.897147","-","0.017403","0.000031","0.000522"
"dbd_avg_o2_gov_alc","Metric","N/A","","mean","32.449393","1,662","32.435289","1,779","0.037406","[-1.741299, +1.816112]","0.001153","[-5.3662%, +5.5968%]","0.967122","-","0.028805","0.000037","0.001091"
"dbd_avg_o2_gov_flowers","Metric","N/A","","mean","43.456000","5","44.780000","2","1.324000","[-70.546659, +73.194659]","0.030468","[-162.3404%, +168.434%]","0.971198","-","0.009396","0.000312","0.012440"
"dbd_avg_o2_gov_grocery","Metric","N/A","","mean","24.777520","4,509","24.393462","4,548","-0.374546","[-1.273873, +0.52478]","-0.015116","[-5.1412%, +2.118%]","0.414343","-","0.024041","-0.000334","-0.009017"
"dbd_avg_o2_gov_nv","Metric","N/A","","mean","20.037031","12,993","19.922491","13,548","-0.081594","[-0.601128, +0.437941]","-0.004072","[-3.0001%, +2.1857%]","0.758223","-","0.021830","-0.000083","-0.001769"
"dbd_avg_o2_gov_pets","Metric","N/A","","mean","38.480773","118","34.875458","140","-3.538236","[-10.397658, +3.321187]","-0.091948","[-27.0204%, +8.6308%]","0.312021","-","0.025445","-0.002186","-0.086059"
"dbd_avg_o2_gov_rx","Metric","N/A","","mean","16.178659","12,417","16.197629","13,902","0.084572","[-0.342013, +0.511157]","0.005227","[-2.114%, +3.1595%]","0.697594","-","0.014087","0.000059","0.001192"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.903446","23,727","0.902085","25,529","-0.001609","[-0.006395, +0.003178]","-0.001780","[-0.7078%, +0.3517%]","0.510098","-","0.017217","-0.000030","-0.000028"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.902662","21,652","0.900905","20,628","-0.001852","[-0.007187, +0.003484]","-0.002051","[-0.7962%, +0.3859%]","0.496399","-","0.013997","-0.000028","-0.000026"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.906784","3,017","0.905395","6,192","-0.002658","[-0.014016, +0.008699]","-0.002932","[-1.5457%, +0.9594%]","0.646419","-","0.003434","-0.000009","-0.000008"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_hqdr","","mean","0.933334","112","0.906593","129","-0.021616","[-0.080153, +0.036921]","-0.023160","[-8.5878%, +3.9558%]","0.469215","-","0.000095","-0.000002","-0.000002"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_hqdr","","mean","0.911458","131","0.854167","111","-0.057245","[-0.128901, +0.014411]","-0.062806","[-14.1423%, +1.5811%]","0.117396","-","0.000095","-0.000005","-0.000005"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_hqdr","","mean","0.902972","23,541","0.902127","25,345","-0.001024","[-0.005848, +0.0038]","-0.001134","[-0.6477%, +0.4209%]","0.677429","-","0.017019","-0.000019","-0.000017"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.903261","6,200","0.903885","6,835","0.000632","[-0.009806, +0.01107]","0.000700","[-1.0856%, +1.2256%]","0.905488","-","0.003526","0.000002","0.000002"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.903211","17,903","0.901461","19,143","-0.001927","[-0.00731, +0.003457]","-0.002133","[-0.8093%, +0.3827%]","0.483008","-","0.013691","-0.000029","-0.000026"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.014994","23,010","0.014421","24,763","-0.000526","[-0.002451, +0.001399]","-0.035086","[-16.349%, +9.3318%]","0.592267","-","0.017064","-0.000572","-0.000009"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_mi","","mean","0.014773","20,978","0.013879","19,954","-0.000903","[-0.003008, +0.001201]","-0.061144","[-20.3595%, +8.1307%]","0.400194","-","0.013846","-0.000793","-0.000012"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_mi","","mean","0.016630","2,939","0.016408","6,041","0.000238","[-0.004684, +0.00516]","0.014306","[-28.1683%, +31.0295%]","0.924530","-","0.003429","0.000000","0.000000"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_mi","","mean","0.011311","5,965","0.009170","6,567","-0.002141","[-0.005661, +0.00138]","-0.189250","[-50.0523%, +12.2023%]","0.233405","-","0.003467","-0.000473","-0.000007"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_mi","","mean","0.015960","17,410","0.015862","18,634","-0.000056","[-0.002301, +0.002189]","-0.003501","[-14.4166%, +13.7165%]","0.961097","-","0.013600","0.000000","0.000000"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_mi","","mean","0.006211","110","0.017341","123","0.009930","[-0.01276, +0.03262]","1.598756","[-205.4299%, +525.181%]","0.391016","-","0.000094","0.000000","0.000000"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_mi","","mean","0.016484","126","0.029412","106","0.011304","[-0.022368, +0.044976]","0.685761","[-135.6979%, +272.8502%]","0.510556","-","0.000092","0.000000","0.000000"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_mi","","mean","0.015071","22,831","0.014379","24,585","-0.000649","[-0.002582, +0.001284]","-0.043059","[-17.134%, +8.5223%]","0.510619","-","0.016868","-0.000696","-0.000011"
