Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment1,0.02152548,-0.00183076,-0.01308435,0.00942284,-0.00066407,-0.00003948,-0.00028216,0.0002032,-5.01e-6,0.7498395,-0.01952903,0.01586751,-0.00042114,0.00034218,1.0,1579907,2025-08-25 20:04:16
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment2,0.00099947,-0.03400009,-0.16512666,0.09712649,-0.00268055,-0.00003518,-0.00017084,0.00010049,-4.31e-6,0.61131085,-0.24021982,0.17221965,-0.00024854,0.00017818,1.0,441474,2025-08-25 20:04:22
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment1,0.0011499,0.00586047,-0.00924594,0.02096688,0.0,6.7e-6,-0.00001057,0.00002397,0.0,0.44703972,-0.01789704,0.02961797,-0.00002046,0.00003386,1.0,7586482,2025-08-25 20:04:51
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment1,0.00949521,0.04394861,-0.00688575,0.09478297,0.00193991,0.0003997,-0.00006262,0.00086203,0.00007129,0.09017456,-0.03599742,0.12389464,-0.00032739,0.0011268,0.70908289,479206,2025-08-25 20:04:23
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment2,0.00906012,-0.0035865,-0.04759213,0.04041914,-0.00015886,-0.00003262,-0.00043284,0.0003676,-5.84e-6,0.87308685,-0.07279314,0.06562015,-0.00066204,0.0005968,1.0,479251,2025-08-25 20:04:23
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment2,0.02145666,-0.00501075,-0.01579974,0.00577823,-0.00181493,-0.00010806,-0.00034072,0.00012461,-0.0000137,0.3626797,-0.02197834,0.01195683,-0.00047396,0.00025785,1.0,1579402,2025-08-25 20:04:16
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment2,0.00115276,0.00833506,-0.00684138,0.02351151,0.00041951,9.53e-6,-7.82e-6,0.00002688,1.18e-6,0.28173367,-0.01553258,0.0322027,-0.00001776,0.00003682,1.0,7586434,2025-08-25 20:04:51
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_delete_cart,,control,0.00559885,,,,,,,,,,,,,,,7770758,2025-08-25 20:04:53
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_delete_cart,,control,0.02156479,,,,,,,,,,,,,,,1627866,2025-08-25 20:04:16
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment1,0.00052503,0.00906101,-0.0644802,0.08260223,0.0,4.71e-6,-0.00003355,0.00004298,0.0,0.80917754,-0.10659556,0.12471759,-0.00005546,0.00006489,1.0,1590597,2025-08-25 20:04:41
