"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","config_no_dsml Value","config_no_dsml Exposure Volume","config_no_dsml Absolute Impact","config_no_dsml Absolute Impact Confidence Interval","config_no_dsml Relative Impact","config_no_dsml Relative Impact Confidence Interval","config_no_dsml P Value","config_no_dsml Significance","config_no_dsml Coverage","config_no_dsml Relative Global Lift","config_no_dsml Absolute Global Lift"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.921463","173,987","0.921507","174,247","0.000041","[-0.001743, +0.001824]","0.000044","[-0.1891%, +0.1979%]","0.964436","-","0.125287","0.000006","0.000005"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.922443","810,406","0.921875","818,553","-0.000582","[-0.001292, +0.000128]","-0.000631","[-0.1401%, +0.0139%]","0.108230","-","0.825157","-0.000521","-0.000480"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_hqdr","","mean","0.925170","203,225","0.924613","206,860","-0.000592","[-0.001988, +0.000805]","-0.000639","[-0.2149%, +0.087%]","0.406461","-","0.205014","-0.000132","-0.000121"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_hqdr","","mean","0.931955","30,944","0.927841","31,193","-0.004107","[-0.007666, -0.000548]","-0.004407","[-0.8225%, -0.0588%]","0.023725","Significant","0.029417","-0.000132","-0.000121"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_hqdr","","mean","0.921104","743,914","0.920745","748,348","-0.000363","[-0.001129, +0.000404]","-0.000394","[-0.1226%, +0.0438%]","0.353433","-","0.714148","-0.000281","-0.000259"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.015623","955,551","0.016030","963,592","0.000410","[+0.000099, +0.000721]","0.026229","[+0.6331%, +4.6126%]","0.009778","Significant","0.950347","0.024982","0.000389"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_mi","","mean","0.011459","168,976","0.011677","169,160","0.000218","[-0.0005, +0.000936]","0.019039","[-4.3643%, +8.1722%]","0.551621","-","0.124259","0.001741","0.000027"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_mi","","mean","0.016251","796,457","0.016683","804,368","0.000436","[+0.000096, +0.000777]","0.026846","[+0.5879%, +4.7813%]","0.012091","Significant","0.826270","0.023127","0.000361"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_mi","","mean","0.016294","199,535","0.016594","202,950","0.000307","[-0.000378, +0.000991]","0.018819","[-2.3177%, +6.0815%]","0.379793","-","0.205147","0.004037","0.000063"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_mi","","mean","0.013083","30,381","0.013554","30,524","0.000476","[-0.001148, +0.0021]","0.036374","[-8.7757%, +16.0505%]","0.565744","-","0.029448","0.000904","0.000014"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_mi","","mean","0.015534","729,354","0.015971","733,783","0.000438","[+0.000081, +0.000795]","0.028209","[+0.5215%, +5.1204%]","0.016198","Significant","0.714066","0.020079","0.000313"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_mi","","mean","0.015778","647,601","0.016252","655,376","0.000475","[+0.000081, +0.00087]","0.030134","[+0.5143%, +5.5126%]","0.018113","Significant","0.744506","0.022779","0.000354"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_mi","","mean","0.014652","171,407","0.014164","170,963","-0.000480","[-0.001207, +0.000247]","-0.032757","[-8.2351%, +1.6838%]","0.195484","-","0.199709","-0.006182","-0.000096"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.004688","955,515","0.004686","963,544","-0.000002","[-0.000169, +0.000165]","-0.000463","[-3.6144%, +3.5219%]","0.979723","-","0.950346","-0.000438","-0.000002"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_nd","","mean","0.004835","791,102","0.004794","799,948","-0.000041","[-0.000231, +0.000149]","-0.008441","[-4.7777%, +3.0894%]","0.674038","-","0.748924","-0.006499","-0.000031"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_nd","","mean","0.004144","210,561","0.004281","210,037","0.000137","[-0.00021, +0.000484]","0.033083","[-5.07%, +11.6866%]","0.438979","-","0.201401","0.005883","0.000028"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_nd","","mean","0.004695","199,531","0.004456","202,947","-0.000239","[-0.000594, +0.000116]","-0.050897","[-12.6499%, +2.4705%]","0.187002","-","0.205148","-0.010432","-0.000049"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_nd","","mean","0.003890","30,380","0.004266","30,523","0.000374","[-0.000507, +0.001254]","0.096004","[-13.04%, +32.2409%]","0.405916","-","0.029448","0.002354","0.000011"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_nd","","mean","0.004716","729,323","0.004775","733,738","0.000059","[-0.000136, +0.000253]","0.012431","[-2.8778%, +5.364%]","0.554369","-","0.714063","0.008907","0.000042"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_nd","","mean","0.006026","168,970","0.005597","169,150","-0.000429","[-0.000939, +0.000082]","-0.071180","[-15.5909%, +1.355%]","0.099655","-","0.124260","-0.011343","-0.000053"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_nd","","mean","0.004485","796,426","0.004549","804,328","0.000064","[-0.000113, +0.00024]","0.014194","[-2.5131%, +5.3518%]","0.479303","-","0.826268","0.011184","0.000053"
"dbd_avg_o2_package","Metric","N/A","","mean","0.700016","955,432","0.701964","963,482","0.001951","[+0.000762, +0.003139]","0.002787","[+0.1088%, +0.4485%]","0.001300","Significant","0.950358","0.002645","0.001854"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_package","","mean","0.682586","168,955","0.685784","169,133","0.003198","[+0.000052, +0.006345]","0.004686","[+0.0076%, +0.9295%]","0.046340","Significant","0.124263","0.000568","0.000398"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_package","","mean","0.702649","796,355","0.704388","804,281","0.001715","[+0.000434, +0.002997]","0.002441","[+0.0617%, +0.4265%]","0.008717","Significant","0.826279","0.002022","0.001417"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_package","","mean","0.659428","791,022","0.661976","799,895","0.002547","[+0.001183, +0.003911]","0.003862","[+0.1793%, +0.5931%]","0.000254","Significant","0.748934","0.002722","0.001908"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_package","","mean","0.849921","210,543","0.851347","210,021","0.001356","[-0.000663, +0.003374]","0.001595","[-0.0781%, +0.397%]","0.188193","-","0.201404","0.000390","0.000274"
