"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_crash_web","","mean","0.000730","70,657","0.000763","72,831","0.000034","[-0.00016, +0.000228]","0.046976","[-21.9053%, +31.3004%]","0.729272","-","0.020981","0.000000","0.000000","0.000766","68,491","0.000037","[-0.000137, +0.000212]","0.051026","[-18.7884%, +28.9936%]","0.675504","-","0.020981","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_crash_web","","mean","0.001680","15,802","0.001364","16,218","-0.000294","[-0.000965, +0.000376]","-0.175171","[-57.4393%, +22.4051%]","0.389792","-","0.002165","0.000000","0.000000","0.001652","15,296","0.000008","[-0.000819, +0.000835]","0.004835","[-48.7669%, +49.7339%]","0.984648","-","0.002165","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_crash_web","","mean","0.000924","91,997","0.001030","93,124","0.000109","[-0.000049, +0.000268]","0.118374","[-5.3068%, +28.9816%]","0.175966","-","0.055362","0.004420","0.000006","0.001010","89,269","0.000086","[-0.000027, +0.000199]","0.092978","[-2.9197%, +21.5154%]","0.135810","-","0.055362","0.003338","0.000005"
"cx_app_quality_hitch_android","Metric","N/A","","mean","0.072058","31,071","0.070835","30,114","-0.001705","[-0.004067, +0.000657]","-0.023662","[-5.6443%, +0.9119%]","0.157148","-","0.009034","-0.000251","-0.000016","0.073921","30,138","0.002015","[-0.000565, +0.004596]","0.027967","[-0.7845%, +6.378%]","0.125866","-","0.009034","0.000295","0.000018"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_hitch_android","","mean","0.045225","23,024","0.044326","23,418","-0.001286","[-0.004839, +0.002268]","-0.028427","[-10.7%, +5.0145%]","0.478254","-","0.000474","0.000000","0.000000","0.046045","22,294","0.001357","[-0.002309, +0.005024]","0.030014","[-5.1059%, +11.1086%]","0.468089","-","0.000474","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_hitch_android","","mean","0.103904","30,481","0.101791","31,437","-0.002381","[-0.005739, +0.000976]","-0.022918","[-5.5231%, +0.9396%]","0.164507","-","0.001484","-0.000057","-0.000004","0.105027","29,593","0.001026","[-0.002553, +0.004605]","0.009873","[-2.4571%, +4.4318%]","0.574233","-","0.001484","0.000024","0.000002"
"page_dimension_cx_item_page","Dimension","cx_app_quality_hitch_android","","mean","0.033884","22,906","0.034058","23,299","-0.000015","[-0.0026, +0.002571]","-0.000437","[-7.6743%, +7.5869%]","0.991038","-","0.001270","0.000000","0.000000","0.036799","22,123","0.002737","[-0.000429, +0.005902]","0.080766","[-1.2661%, +17.4194%]","0.090199","-","0.001270","0.000056","0.000003"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_hitch_android","","mean","0.084242","24,062","0.085918","24,469","0.000352","[-0.004274, +0.004978]","0.004183","[-5.0729%, +5.9095%]","0.881318","-","0.000855","0.000000","0.000000","0.086256","23,293","0.002245","[-0.002319, +0.006808]","0.026648","[-2.7523%, +8.0818%]","0.334967","-","0.000855","0.000031","0.000002"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_hitch_android","","mean","0.075749","28,086","0.074385","29,158","-0.001894","[-0.004914, +0.001126]","-0.025007","[-6.4873%, +1.486%]","0.218919","-","0.001701","-0.000051","-0.000003","0.077044","27,290","0.002021","[-0.001599, +0.005641]","0.026677","[-2.1111%, +7.4465%]","0.273908","-","0.001701","0.000055","0.000003"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_hitch_android","","mean","0.088533","19,435","0.086264","19,835","-0.003632","[-0.007483, +0.00022]","-0.041020","[-8.4524%, +0.2484%]","0.064597","-","0.000565","-0.000033","-0.000002","0.091477","18,739","0.002438","[-0.001674, +0.00655]","0.027536","[-1.8912%, +7.3984%]","0.245260","-","0.000565","0.000022","0.000001"
