"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.017210","679,029","0.017152","658,826","-0.000058","[-0.000466, +0.00035]","-0.003361","[-2.7068%, +2.0345%]","0.781095","-","0.007013","0.000000","0.000000","0.017143","658,458","-0.000066","[-0.000468, +0.000337]","-0.003809","[-2.7219%, +1.9602%]","0.749841","-","0.007013","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.013461","584,783","0.013531","567,400","0.000070","[-0.000193, +0.000333]","0.005214","[-1.4332%, +2.4761%]","0.601078","-","0.007883","0.000000","0.000000","0.013376","566,673","-0.000085","[-0.000346, +0.000177]","-0.006284","[-2.573%, +1.3162%]","0.526493","-","0.007883","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.012955","1,512,739","0.013133","1,466,413","0.000178","[+0.000027, +0.000329]","0.013711","[+0.2056%, +2.5366%]","0.021125","Significant","0.032355","0.000495","0.000006","0.013186","1,470,534","0.000231","[+0.00008, +0.000381]","0.017792","[+0.6199%, +2.9385%]","0.002631","Significant","0.032355","0.000641","0.000007"
"cx_app_quality_action_load_latency_web","Metric","N/A","","mean","0.030035","84,331","0.030321","81,605","0.000325","[-0.001174, +0.001825]","0.010832","[-3.9102%, +6.0767%]","0.670709","-","0.102298","0.000918","0.000034","0.030163","82,283","0.000129","[-0.00063, +0.000888]","0.004296","[-2.0971%, +2.9563%]","0.738953","-","0.102298","0.000360","0.000013"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_web","","mean","0.014733","7,347","0.015164","7,205","0.000423","[-0.003177, +0.004024]","0.028740","[-21.5635%, +27.3114%]","0.817702","-","0.000737","0.000000","0.000000","0.015275","7,324","0.000524","[-0.003182, +0.004231]","0.035593","[-21.5968%, +28.7153%]","0.781543","-","0.000737","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_web","","mean","0.036676","79,073","0.036272","76,414","-0.000388","[-0.001314, +0.000538]","-0.010572","[-3.5818%, +1.4673%]","0.411761","-","0.064173","-0.000685","-0.000025","0.036646","77,070","-0.000016","[-0.000902, +0.000869]","-0.000439","[-2.4584%, +2.3705%]","0.971558","-","0.064173","-0.000028","-0.000001"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_web","","mean","0.004415","38,703","0.005260","37,557","0.000845","[-0.000059, +0.001749]","0.191357","[-1.343%, +39.6144%]","0.067037","-","0.010172","0.000241","0.000009","0.004798","37,765","0.000383","[-0.000442, +0.001208]","0.086718","[-10.0079%, +27.3516%]","0.362880","-","0.010172","0.000108","0.000004"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_web","","mean","0.020115","64,512","0.019539","62,422","-0.000604","[-0.002022, +0.000813]","-0.030049","[-10.0498%, +4.04%]","0.403164","-","0.017391","-0.000289","-0.000011","0.021510","62,717","0.001374","[-0.000797, +0.003545]","0.068313","[-3.9613%, +17.6239%]","0.214763","-","0.017391","0.000646","0.000024"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_web","","mean","0.004060","15,979","0.031501","15,497","0.027247","[-0.022988, +0.077481]","6.710488","[-566.1601%, +1,908.2578%]","0.287753","-","0.002512","0.001942","0.000071","0.004098","15,461","-0.000006","[-0.00117, +0.001158]","-0.001413","[-28.8071%, +28.5245%]","0.992293","-","0.002512","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_web","","mean","0.041495","33,967","0.040255","33,126","-0.001427","[-0.004982, +0.002129]","-0.034383","[-12.0074%, +5.1309%]","0.431627","-","0.007267","-0.000288","-0.000011","0.040062","33,084","-0.001585","[-0.004614, +0.001443]","-0.038199","[-11.1185%, +3.4787%]","0.304989","-","0.007267","-0.000318","-0.000012"
"cx_app_quality_crash_android","Metric","N/A","","mean","0.000041","47,928","0.000050","46,680","0.000008","[-0.000003, +0.00002]","0.204029","[-6.6309%, +47.4367%]","0.139082","-","0.020728","0.000000","0.000000","0.000053","46,384","0.000012","[-0.000005, +0.000028]","0.284536","[-11.7777%, +68.6848%]","0.165690","-","0.020728","0.000000","0.000000"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_android","","mean","0.000020","36,377","0.000007","35,473","-0.000013","[-0.000042, +0.000016]","-0.638471","[-204.8931%, +77.1988%]","0.374963","-","0.002341","0.000000","0.000000","0.000012","35,189","-0.000008","[-0.000038, +0.000022]","-0.390620","[-187.1164%, +108.9925%]","0.605081","-","0.002341","0.000000","0.000000"
