"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_dx_cost","","mean","5.715647","131","4.966458","111","-0.461971","[-1.857595, +0.933654]","-0.080826","[-32.5002%, +16.3351%]","0.516484","-","0.000095","-0.000009","-0.000039"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_dx_cost","","mean","4.904073","23,541","4.920442","25,344","0.019941","[-0.031226, +0.071109]","0.004066","[-0.6367%, +1.45%]","0.444956","-","0.017018","0.000080","0.000340"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","4.629454","6,200","4.589519","6,835","-0.039783","[-0.129028, +0.049462]","-0.008593","[-2.7871%, +1.0684%]","0.382284","-","0.003526","-0.000033","-0.000141"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","4.982822","17,903","5.009976","19,142","0.030257","[-0.034458, +0.094972]","0.006072","[-0.6915%, +1.906%]","0.359470","-","0.013691","0.000097","0.000414"
"dbd_avg_o2_gov_1pc","Metric","N/A","","mean","16.945992","1,127","16.194037","1,293","-0.711983","[-1.815303, +0.391338]","-0.042015","[-10.7123%, +2.3093%]","0.205949","-","0.044366","-0.001672","-0.031345"
"dbd_avg_o2_gov_3pc","Metric","N/A","","mean","13.706613","6,171","13.730963","6,380","0.029643","[-0.431421, +0.490707]","0.002163","[-3.1475%, +3.5801%]","0.899722","-","0.017403","0.000030","0.000509"
"dbd_avg_o2_gov_alc","Metric","N/A","","mean","32.449998","1,662","32.435611","1,779","0.037118","[-1.74161, +1.815846]","0.001144","[-5.3671%, +5.5958%]","0.967376","-","0.028805","0.000037","0.001083"
"dbd_avg_o2_gov_flowers","Metric","N/A","","mean","43.454000","5","44.780000","2","1.326000","[-70.544548, +73.196548]","0.030515","[-162.343%, +168.4461%]","0.971154","-","0.009396","0.000312","0.012459"
"dbd_avg_o2_gov_grocery","Metric","N/A","","mean","24.655033","4,553","24.272044","4,638","-0.371881","[-1.264964, +0.521202]","-0.015083","[-5.1307%, +2.114%]","0.414425","-","0.027919","-0.000389","-0.010409"
"dbd_avg_o2_gov_nv","Metric","N/A","","mean","20.022197","13,040","19.922708","13,630","-0.063452","[-0.58138, +0.454476]","-0.003169","[-2.9037%, +2.2699%]","0.810239","-","0.021952","-0.000065","-0.001385"
"dbd_avg_o2_gov_pets","Metric","N/A","","mean","38.469913","118","34.971803","140","-3.432493","[-10.361741, +3.496755]","-0.089225","[-26.9347%, +9.0896%]","0.331601","-","0.025445","-0.002121","-0.083487"
"dbd_avg_o2_gov_rx","Metric","N/A","","mean","16.182770","12,349","16.166805","13,803","0.047866","[-0.379725, +0.475457]","0.002958","[-2.3465%, +2.938%]","0.826335","-","0.014004","0.000033","0.000670"
