"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_avg_o2_vp_grocery","Metric","N/A","","mean","-2.235418","90,011","-2.258465","86,343","-0.021490","[-0.080487, +0.037508]","-0.009613","[+3.6005%, -1.6779%]","0.475281","-","0.753082","0.007648","-0.016180","-2.230169","86,938","0.004053","[-0.05584, +0.063946]","0.001813","[+2.4979%, -2.8606%]","0.894478","-","0.753082","-0.001442","0.003051"
"dbd_avg_o2_vp_nv","Metric","N/A","","mean","-1.235017","307,395","-1.272542","296,083","-0.038985","[-0.07309, -0.00488]","-0.031566","[+5.9181%, +0.3951%]","0.025065","Significant","0.762303","0.025774","-0.029700","-1.214055","298,023","0.016190","[-0.018388, +0.050768]","0.013109","[+1.4889%, -4.1107%]","0.358788","-","0.762303","-0.010708","0.012339"
"dbd_avg_o2_vp_pets","Metric","N/A","","mean","0.669539","2,392","0.517686","2,413","-0.176732","[-0.661924, +0.308459]","-0.263961","[-98.8627%, +46.0704%]","0.475276","-","0.736328","-0.151485","-0.130361","0.523890","2,383","-0.169268","[-0.637474, +0.298938]","-0.252812","[-95.2109%, +44.6484%]","0.478589","-","0.736328","-0.145082","-0.124852"
"dbd_avg_o2_vp_rx","Metric","N/A","","mean","-0.642773","455,259","-0.608781","446,564","0.031402","[+0.010172, +0.052632]","0.048854","[-1.5826%, -8.1882%]","0.003743","Significant","0.756441","-0.041379","0.023747","-0.623848","441,886","0.015987","[-0.005131, +0.037104]","0.024871","[+0.7983%, -5.7726%]","0.137882","-","0.756441","-0.021081","0.012098"
"dbd_bottom_sheet_load_latency_ios","Metric","N/A","","mean","0.223463","5,341,132","0.223395","5,179,416","-0.000128","[-0.000479, +0.000222]","-0.000575","[-0.2143%, +0.0994%]","0.472602","-","0.663408","-0.000378","-0.000085","0.223456","5,179,075","0.000008","[-0.000342, +0.000358]","0.000035","[-0.1532%, +0.1602%]","0.964961","-","0.663408","0.000023","0.000005"
"dbd_cx_retrial","Metric","N/A","","mean","0.015251","5,625,075","0.015419","5,454,365","0.000167","[+0.000023, +0.000312]","0.010967","[+0.1481%, +2.0452%]","0.023447","Significant","0.653238","0.007164","0.001015","0.015304","5,454,115","0.000050","[-0.000094, +0.000195]","0.003287","[-0.618%, +1.2755%]","0.496166","-","0.653238","0.002147","0.000304"
"dbd_existing_attach_rate_post_checkout","Metric","N/A","","mean","0.042135","3,650,121","0.042123","3,541,007","-0.000010","[-0.000197, +0.000177]","-0.000241","[-0.4673%, +0.419%]","0.914984","-","0.672480","-0.000181","-0.000007","0.042244","3,537,840","0.000103","[-0.000083, +0.00029]","0.002454","[-0.1972%, +0.6879%]","0.277156","-","0.672480","0.001837","0.000070"
"dbd_funnel_checkout_error","Metric","N/A","","mean","0.000053","5,307,467","0.000054","5,146,710","0.000001","[-0.000004, +0.000007]","0.026030","[-7.526%, +12.732%]","0.614482","-","0.637616","0.000000","0.000000","0.000053","5,144,845","0.000000","[-0.000006, +0.000005]","-0.006325","[-11.0315%, +9.7664%]","0.905100","-","0.637616","0.000000","0.000000"
"dbd_funnel_click_item","Metric","N/A","","mean","0.063702","5,307,467","0.064084","5,146,710","0.000378","[+0.000172, +0.000584]","0.005934","[+0.2698%, +0.917%]","0.000325","Significant","0.637616","0.004196","0.000241","0.063738","5,144,845","0.000039","[-0.000166, +0.000244]","0.000612","[-0.2606%, +0.383%]","0.709387","-","0.637616","0.000433","0.000025"
"dbd_funnel_load_checkout","Metric","N/A","","mean","0.044302","5,307,467","0.044564","5,146,710","0.000259","[+0.000084, +0.000433]","0.005839","[+0.1903%, +0.9775%]","0.003640","Significant","0.637616","0.004261","0.000165","0.044472","5,144,845","0.000170","[-0.000004, +0.000343]","0.003832","[-0.0088%, +0.7752%]","0.055362","-","0.637616","0.002796","0.000108"
"dbd_funnel_load_store","Metric","N/A","","mean","0.085753","5,307,467","0.086740","5,146,710","0.000984","[+0.000745, +0.001223]","0.011479","[+0.8692%, +1.4265%]","0.000000","Significant","0.637616","0.008115","0.000628","0.085884","5,144,845","0.000131","[-0.000107, +0.000369]","0.001525","[-0.1249%, +0.4299%]","0.281345","-","0.637616","0.001078","0.000083"
"dbd_funnel_payment_error","Metric","N/A","","mean","0.000052","5,307,467","0.000054","5,146,710","0.000001","[-0.000004, +0.000007]","0.026331","[-7.5199%, +12.7862%]","0.611239","-","0.637616","0.000000","0.000000","0.000052","5,144,845","0.000000","[-0.000005, +0.000005]","-0.000895","[-10.431%, +10.2521%]","0.986473","-","0.637616","0.000000","0.000000"
"dbd_funnel_tap_place_order","Metric","N/A","","mean","0.029585","5,307,467","0.029691","5,146,710","0.000101","[-0.000043, +0.000246]","0.003427","[-0.1466%, +0.8321%]","0.169852","-","0.637616","0.002483","0.000065","0.029672","5,144,845","0.000085","[-0.000059, +0.000229]","0.002878","[-0.1991%, +0.7747%]","0.246701","-","0.637616","0.002085","0.000054"
"dbd_funnel_time_to_purchase","Metric","N/A","","mean","4.746620","533,156","4.746363","518,251","0.000286","[-0.024304, +0.024876]","0.000060","[-0.512%, +0.5241%]","0.981822","-","0.755214","0.000047","0.000216","4.738404","517,473","-0.008037","[-0.030745, +0.014672]","-0.001693","[-0.6477%, +0.3091%]","0.487914","-","0.755214","-0.001310","-0.006072"
"dbd_new_attach_rate_post_checkout","Metric","N/A","","mean","0.016074","1,883,361","0.016433","1,825,513","0.000360","[+0.000185, +0.000536]","0.022422","[+1.1518%, +3.3326%]","0.000056","Significant","0.502392","0.013689","0.000181","0.016255","1,827,340","0.000179","[+0.000004, +0.000354]","0.011132","[+0.025%, +2.2014%]","0.044969","Significant","0.502392","0.006794","0.000090"
"dbd_nv_trials_net_new_per_cx","Metric","N/A","","mean","0.001942","5,625,075","0.001937","5,454,365","-0.000005","[-0.000057, +0.000047]","-0.002432","[-2.9113%, +2.4249%]","0.858224","-","0.641331","-0.001560","-0.000072","0.001959","5,454,115","0.000017","[-0.000035, +0.000069]","0.008646","[-1.8116%, +3.5407%]","0.526615","-","0.641331","0.005545","0.000254"
"dbd_nv_trials_per_cx","Metric","N/A","","mean","0.004272","5,625,075","0.004287","5,454,365","0.000016","[-0.000061, +0.000093]","0.003658","[-1.4339%, +2.1655%]","0.690372","-","0.644782","0.002358","0.000237","0.004308","5,454,115","0.000036","[-0.000041, +0.000113]","0.008330","[-0.969%, +2.635%]","0.364905","-","0.644782","0.005371","0.000539"
"dbd_nv_trials_retrial_per_cx","Metric","N/A","","mean","0.002330","5,625,075","0.002350","5,454,365","0.000020","[-0.000037, +0.000077]","0.008738","[-1.5686%, +3.3161%]","0.483196","-","0.647687","0.005659","0.000308","0.002349","5,454,115","0.000019","[-0.000038, +0.000076]","0.008052","[-1.6366%, +3.2471%]","0.518069","-","0.647687","0.005215","0.000284"
"dbd_o2_aov","Metric","N/A","","mean","20.982746","686,096","21.053556","668,499","0.075045","[+0.02047, +0.129619]","0.003576","[+0.0976%, +0.6177%]","0.007036","Significant","0.758428","0.002672","0.056888","21.017941","665,638","0.036095","[-0.019028, +0.091218]","0.001720","[-0.0907%, +0.4347%]","0.199353","-","0.758428","0.001286","0.027383"
"dbd_o2_gmv","Metric","N/A","","mean","3.654474","5,625,075","3.677074","5,454,365","0.025706","[+0.009688, +0.041723]","0.007034","[+0.2651%, +1.1417%]","0.001659","Significant","0.746997","0.005254","0.156019","3.666867","5,454,115","0.015302","[-0.0008, +0.031403]","0.004187","[-0.0219%, +0.8593%]","0.062519","-","0.746997","0.003128","0.092873"
"dbd_cx_segment_NULL","Dimension","dbd_o2_gmv","","mean","1.081250","98,178","0.542778","225,584","-0.538472","[-0.596474, -0.48047]","-0.498009","[-55.1652%, -44.4365%]","0.000000","Significant","0.006744","-0.003359","-0.082881","1.088535","95,522","0.007285","[-0.065037, +0.079607]","0.006738","[-6.015%, +7.3625%]","0.843493","-","0.006744","0.000045","0.001121"
"dbd_cx_segment_did_not_purchase_l180d","Dimension","dbd_o2_gmv","","mean","3.125283","3,253,580","3.095694","3,632,764","-0.029589","[-0.061819, +0.002641]","-0.009468","[-1.978%, +0.0845%]","0.071966","-","0.466898","-0.004420","-0.109087","3.138122","3,156,559","0.012839","[-0.020551, +0.046229]","0.004108","[-0.6576%, +1.4792%]","0.451068","-","0.466898","0.001918","0.047334"
"dbd_cx_segment_existing_purchased_l120d","Dimension","dbd_o2_gmv","","mean","7.562602","287,324","7.491037","330,910","-0.071565","[-0.250361, +0.107231]","-0.009463","[-3.3105%, +1.4179%]","0.432748","-","0.100893","-0.000955","-0.023561","7.659889","278,609","0.097287","[-0.089469, +0.284043]","0.012864","[-1.183%, +3.7559%]","0.307251","-","0.100893","0.001298","0.032030"
"dbd_cx_segment_existing_purchased_l180d","Dimension","dbd_o2_gmv","","mean","6.735386","363,287","6.719996","415,609","-0.015390","[-0.168412, +0.137632]","-0.002285","[-2.5004%, +2.0434%]","0.843733","-","0.113386","-0.000259","-0.006394","6.761218","352,782","0.025832","[-0.129943, +0.181607]","0.003835","[-1.9293%, +2.6963%]","0.745167","-","0.113386","0.000435","0.010732"
"dbd_cx_segment_existing_purchased_l30d","Dimension","dbd_o2_gmv","","mean","85.831408","1,088,632","95.002721","1,287,183","5.885024","[+5.321437, +6.448611]","0.068565","[+6.1999%, +7.5131%]","0.000000","Significant","","","","86.126138","1,055,150","0.336389","[-0.227152, +0.899931]","0.003919","[-0.2646%, +1.0485%]","0.242024","-","","",""
"dbd_cx_segment_existing_purchased_l60d","Dimension","dbd_o2_gmv","","mean","13.732850","566,135","13.775504","664,582","0.042654","[-0.141525, +0.226833]","0.003106","[-1.0306%, +1.6518%]","0.649896","-","0.363741","0.001130","0.027881","13.639328","549,848","-0.093522","[-0.285345, +0.098301]","-0.006810","[-2.0778%, +0.7158%]","0.339290","-","0.363741","-0.002477","-0.061130"
