"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment_a Value","treatment_a Exposure Volume","treatment_a Absolute Impact","treatment_a Absolute Impact Confidence Interval","treatment_a Relative Impact","treatment_a Relative Impact Confidence Interval","treatment_a P Value","treatment_a Significance","treatment_a Coverage","treatment_a Relative Global Lift","treatment_a Absolute Global Lift","treatment_b Value","treatment_b Exposure Volume","treatment_b Absolute Impact","treatment_b Absolute Impact Confidence Interval","treatment_b Relative Impact","treatment_b Relative Impact Confidence Interval","treatment_b P Value","treatment_b Significance","treatment_b Coverage","treatment_b Relative Global Lift","treatment_b Absolute Global Lift"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_dx_cost","","mean","4.222425","2,386","4.276950","2,342","0.066581","[-0.112487, +0.245649]","0.015768","[-2.664%, +5.8177%]","0.466154","-","0.002025","0.000035","0.000138","4.324808","2,445","0.102851","[-0.096169, +0.301871]","0.024358","[-2.2776%, +7.1492%]","0.311113","-","0.002025","0.000053","0.000211"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_dx_cost","","mean","4.006661","417,317","4.006408","406,522","0.000342","[-0.017385, +0.018068]","0.000085","[-0.4339%, +0.451%]","0.969878","-","0.370961","0.000032","0.000127","4.000016","406,721","-0.006254","[-0.022779, +0.01027]","-0.001561","[-0.5685%, +0.2563%]","0.458200","-","0.370961","-0.000581","-0.002321"
"dbd_avg_o2_gov_1pc","Metric","N/A","","mean","20.764306","8,555","20.407348","8,376","-0.380351","[-0.852631, +0.091929]","-0.018318","[-4.1062%, +0.4427%]","0.114461","-","0.356955","-0.006968","-0.135804","20.674901","8,292","-0.085007","[-0.569782, +0.399767]","-0.004094","[-2.744%, +1.9253%]","0.731081","-","0.356955","-0.001563","-0.030454"
"dbd_avg_o2_gov_3pc","Metric","N/A","","mean","16.897617","102,003","16.890504","100,043","-0.006090","[-0.116903, +0.104722]","-0.000360","[-0.6918%, +0.6197%]","0.914218","-","0.361459","-0.000135","-0.002199","16.871298","99,604","-0.033125","[-0.141532, +0.075282]","-0.001960","[-0.8376%, +0.4455%]","0.549251","-","0.361459","-0.000735","-0.011961"
"dbd_avg_o2_gov_alc","Metric","N/A","","mean","30.423510","14,009","30.030606","13,744","-0.366702","[-0.937996, +0.204591]","-0.012053","[-3.0831%, +0.6725%]","0.208369","-","0.311142","-0.003976","-0.113601","30.110129","13,628","-0.279046","[-0.864883, +0.30679]","-0.009172","[-2.8428%, +1.0084%]","0.350524","-","0.311142","-0.003022","-0.086334"
"dbd_avg_o2_gov_flowers","Metric","N/A","","mean","39.403731","67","38.882222","54","-0.521509","[-9.485967, +8.442948]","-0.013235","[-24.0738%, +21.4268%]","0.909221","-","0.379376","-0.004763","-0.197848","35.775789","38","-3.627942","[-14.228699, +6.972815]","-0.092071","[-36.11%, +17.6958%]","0.502369","-","0.379376","-0.033136","-1.376353"
"dbd_avg_o2_gov_grocery","Metric","N/A","","mean","28.426220","46,570","28.359472","45,629","-0.072973","[-0.420572, +0.274626]","-0.002567","[-1.4795%, +0.9661%]","0.680732","-","0.347822","-0.000937","-0.025442","28.252208","45,339","-0.171082","[-0.515791, +0.173628]","-0.006018","[-1.8145%, +0.6108%]","0.330681","-","0.347822","-0.002200","-0.059722"
"dbd_avg_o2_gov_nv","Metric","N/A","","mean","21.437675","163,518","21.382574","160,197","-0.056466","[-0.195044, +0.082111]","-0.002634","[-0.9098%, +0.383%]","0.424507","-","0.352347","-0.000961","-0.019898","21.357028","159,219","-0.093155","[-0.230574, +0.044263]","-0.004345","[-1.0756%, +0.2065%]","0.183963","-","0.352347","-0.001587","-0.032846"
"dbd_avg_o2_gov_pets","Metric","N/A","","mean","39.309233","1,276","38.289465","1,286","-1.173958","[-3.740208, +1.392292]","-0.029865","[-9.5148%, +3.5419%]","0.369929","-","0.339430","-0.010468","-0.398550","38.864627","1,205","-0.750535","[-3.31386, +1.81279]","-0.019093","[-8.4302%, +4.6116%]","0.566054","-","0.339430","-0.006654","-0.253356"
"dbd_avg_o2_gov_rx","Metric","N/A","","mean","19.672022","291,878","19.804749","283,651","0.135427","[+0.06548, +0.205374]","0.006884","[+0.3329%, +1.044%]","0.000148","Significant","0.389581","0.002698","0.052802","19.763217","284,684","0.095449","[+0.028673, +0.162225]","0.004852","[+0.1458%, +0.8246%]","0.005086","Significant","0.389581","0.001902","0.037219"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.911995","420,314","0.912003","409,571","0.000011","[-0.001208, +0.00123]","0.000012","[-0.1324%, +0.1349%]","0.985531","-","0.375432","0.000005","0.000004","0.912384","409,825","0.000379","[-0.000791, +0.001549]","0.000416","[-0.0867%, +0.1699%]","0.525141","-","0.375432","0.000157","0.000143"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.913725","386,485","0.913560","376,616","-0.000166","[-0.001501, +0.001168]","-0.000182","[-0.1642%, +0.1278%]","0.806849","-","0.320161","-0.000059","-0.000053","0.914024","376,829","0.000289","[-0.000982, +0.001561]","0.000317","[-0.1075%, +0.1708%]","0.655662","-","0.320161","0.000102","0.000093"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.901971","59,418","0.902980","58,063","0.000958","[-0.001947, +0.003862]","0.001062","[-0.2158%, +0.4282%]","0.518021","-","0.055326","0.000058","0.000053","0.902854","58,037","0.000816","[-0.002085, +0.003717]","0.000904","[-0.2312%, +0.4121%]","0.581548","-","0.055326","0.000050","0.000045"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_hqdr","","mean","0.903669","2,310","0.895783","2,370","-0.007749","[-0.02232, +0.006821]","-0.008575","[-2.4699%, +0.7548%]","0.297216","-","0.002270","-0.000020","-0.000019","0.891486","2,448","-0.012222","[-0.026688, +0.002245]","-0.013525","[-2.9533%, +0.2484%]","0.097752","-","0.002270","-0.000031","-0.000028"
