"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","15 mins treatment Value","15 mins treatment Exposure Volume","20 mins treatment Value","20 mins treatment Exposure Volume","20 mins treatment Absolute Impact","20 mins treatment Absolute Impact Confidence Interval","20 mins treatment Relative Impact","20 mins treatment Relative Impact Confidence Interval","20 mins treatment P Value","20 mins treatment Significance","20 mins treatment Coverage","20 mins treatment Relative Global Lift","20 mins treatment Absolute Global Lift"
"doubledash_post_checkout_wau","Metric","N/A","","mean","0.054635","8,349,517","0.056011","8,347,174","0.001407","[+0.001194, +0.001621]","0.025760","[+2.1845%, +2.9674%]","0.000000","Significant","0.452657","0.011660","0.009215"
"doubledash_pre_checkout_active_user","Metric","N/A","","mean","0.022466","8,349,517","0.022403","8,347,174","-0.000049","[-0.000188, +0.00009]","-0.002183","[-0.8355%, +0.3988%]","0.488061","-","0.887406","-0.001938","-0.000524"
"doubledash_pre_checkout_wau","Metric","N/A","","mean","0.019499","8,349,517","0.019454","8,347,174","-0.000029","[-0.000158, +0.000101]","-0.001485","[-0.8124%, +0.5154%]","0.661069","-","0.467495","-0.000694","-0.000190"
"doubledash_wau","Metric","N/A","","mean","0.071313","8,349,517","0.072585","8,347,174","0.001313","[+0.001073, +0.001552]","0.018406","[+1.5045%, +2.1766%]","0.000000","Significant","0.468878","0.008630","0.008594"
"dp_paid_pause_cancel","Metric","N/A","","mean","0.008150","3,661,555","0.008067","3,661,737","-0.000083","[-0.000214, +0.000049]","-0.010123","[-2.624%, +0.5995%]","0.218349","-","0.164289","-0.001663","-0.000027"
"dsmp_order_frequency","Metric","N/A","","mean","2.443357","7,934,734","2.446036","7,934,139","0.001616","[-0.000209, +0.003442]","0.000662","[-0.0085%, +0.1409%]","0.082616","-","0.785270","0.000520","0.001239"
"dsmp_order_frequency_14d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dsmp_order_frequency_28d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dsmp_order_frequency_7d","Metric","N/A","","mean","3.046515","4,643,791","3.048912","4,645,419","0.002197","[-0.000466, +0.00486]","0.000721","[-0.0153%, +0.1595%]","0.105810","-","0.573033","0.000413","0.000986"
"dsmp_order_rate","Metric","N/A","","mean","2.321977","8,349,517","2.325001","8,347,174","0.002003","[+0.000225, +0.003781]","0.000863","[+0.0097%, +0.1628%]","0.027261","Significant","0.764626","0.000660","0.001656"
"dsmp_order_rate_14d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dsmp_order_rate_28d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"is_occasional_cx_NULL","Dimension","dsmp_order_rate_28d","","mean","0.060446","8,349,517","0.061023","8,347,174","0.000626","[-0.000131, +0.001384]","0.010362","[-0.2171%, +2.2895%]","0.105126","-","0.019904","0.000206","0.000508"
"is_occasional_cx_Occasional","Dimension","dsmp_order_rate_28d","","mean","0.118299","8,349,517","0.118278","8,347,174","0.000043","[-0.00036, +0.000446]","0.000364","[-0.3046%, +0.3773%]","0.834426","-","0.038954","0.000014","0.000035"
"is_occasional_cx_Other","Dimension","dsmp_order_rate_28d","","mean","2.021490","8,349,517","2.023828","8,347,174","0.001740","[-0.000088, +0.003568]","0.000861","[-0.0044%, +0.1765%]","0.062091","-","0.665641","0.000573","0.001412"
"dsmp_order_rate_7d","Metric","N/A","","mean","2.741913","5,159,675","2.745448","5,158,893","0.002839","[+0.000323, +0.005355]","0.001035","[+0.0118%, +0.1953%]","0.026998","Significant","0.557922","0.000578","0.001451"
"is_occasional_cx_NULL","Dimension","dsmp_order_rate_7d","","mean","0.059539","8,349,517","0.060107","8,347,174","0.000621","[-0.000129, +0.00137]","0.010428","[-0.216%, +2.3016%]","0.104462","-","0.019605","0.000204","0.000504"
