"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.049287","180,278","0.048767","214,614","-0.000380","[-0.001578, +0.000819]","-0.007705","[-3.202%, +1.661%]","0.534545","-","0.183234","-0.001793","-0.000073","0.049096","173,745","-0.000191","[-0.001467, +0.001085]","-0.003878","[-2.9764%, +2.2008%]","0.769051","-","0.183234","-0.000864","-0.000035"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.029839","699,781","0.029609","681,750","-0.000235","[-0.000745, +0.000274]","-0.007882","[-2.4951%, +0.9187%]","0.365437","-","0.758759","-0.006047","-0.000178","0.029447","678,642","-0.000394","[-0.000899, +0.000111]","-0.013206","[-3.0144%, +0.3732%]","0.126485","-","0.758759","-0.010139","-0.000299"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.041058","82,573","0.040403","88,032","-0.000654","[-0.002603, +0.001294]","-0.015939","[-6.3392%, +3.1513%]","0.510309","-","0.066305","-0.001471","-0.000043","0.039716","80,455","-0.001342","[-0.003335, +0.000651]","-0.032688","[-8.123%, +1.5855%]","0.186906","-","0.066305","-0.003018","-0.000089"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.028544","518,222","0.028521","599,536","0.000003","[-0.000552, +0.000558]","0.000114","[-1.9335%, +1.9562%]","0.990862","-","0.591826","0.000067","0.000002","0.028338","501,689","-0.000206","[-0.000786, +0.000374]","-0.007216","[-2.753%, +1.3097%]","0.486266","-","0.591826","-0.004142","-0.000122"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.025832","498,352","0.025975","590,122","0.000267","[-0.000263, +0.000798]","0.010345","[-1.0192%, +3.0882%]","0.323500","-","0.475561","0.004414","0.000130","0.025373","483,261","-0.000462","[-0.001019, +0.000096]","-0.017866","[-3.9442%, +0.371%]","0.104602","-","0.475561","-0.007482","-0.000220"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.039041","184,993","0.038800","220,209","-0.000151","[-0.001316, +0.001015]","-0.003863","[-3.372%, +2.5995%]","0.799841","-","0.185086","-0.000992","-0.000029","0.039176","178,329","0.000136","[-0.00109, +0.001362]","0.003489","[-2.7909%, +3.4886%]","0.827609","-","0.185086","0.000858","0.000025"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_cancellations","","mean","0.026652","118,172","0.026706","139,330","0.000137","[-0.000984, +0.001258]","0.005148","[-3.6915%, +4.7211%]","0.810441","-","0.136371","0.000666","0.000020","0.026967","114,663","0.000309","[-0.000888, +0.001506]","0.011589","[-3.3322%, +5.65%]","0.613020","-","0.136371","0.001432","0.000042"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_cancellations","","mean","0.020435","12,367","0.020591","13,991","0.000323","[-0.002699, +0.003345]","0.015803","[-13.2075%, +16.3681%]","0.834093","-","0.013205","0.000151","0.000004","0.018915","11,930","-0.001534","[-0.004674, +0.001605]","-0.075082","[-22.8712%, +7.8547%]","0.338121","-","0.013205","-0.000686","-0.000020"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_cancellations","","mean","0.030883","467,167","0.030611","531,260","-0.000223","[-0.000843, +0.000397]","-0.007224","[-2.7294%, +1.2846%]","0.480522","-","0.507165","-0.003927","-0.000116","0.030452","452,570","-0.000430","[-0.001073, +0.000213]","-0.013924","[-3.4756%, +0.6909%]","0.190203","-","0.507165","-0.007410","-0.000218"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.398559","699,876","4.397612","681,853","0.000690","[-0.01083, +0.01221]","0.000157","[-0.2462%, +0.2776%]","0.906521","-","0.758762","0.000120","0.000523","4.388024","678,742","-0.009513","[-0.021041, +0.002016]","-0.002163","[-0.4784%, +0.0458%]","0.105835","-","0.758762","-0.001662","-0.007220"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.439937","498,446","4.452555","590,228","-0.005207","[-0.018938, +0.008523]","-0.001173","[-0.4265%, +0.192%]","0.457279","-","0.475595","-0.000578","-0.002527","4.430690","483,357","-0.008464","[-0.022436, +0.005508]","-0.001906","[-0.5053%, +0.124%]","0.235087","-","0.475595","-0.000922","-0.004031"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.339771","184,989","4.356015","220,207","-0.011740","[-0.03304, +0.009559]","-0.002705","[-0.7613%, +0.2203%]","0.279999","-","0.185059","-0.000519","-0.002268","4.331110","178,327","-0.009346","[-0.031699, +0.013008]","-0.002154","[-0.7304%, +0.2997%]","0.412539","-","0.185059","-0.000396","-0.001728"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_dx_cost","","mean","4.182274","127,223","4.188602","154,085","-0.017625","[-0.041341, +0.006091]","-0.004214","[-0.9885%, +0.1456%]","0.145222","-","0.136998","-0.000580","-0.002535","4.177697","123,160","-0.003421","[-0.027363, +0.02052]","-0.000818","[-0.6543%, +0.4906%]","0.779408","-","0.136998","-0.000107","-0.000469"
