"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","Treatment A Value","Treatment A Exposure Volume","Treatment A Absolute Impact","Treatment A Absolute Impact Confidence Interval","Treatment A Relative Impact","Treatment A Relative Impact Confidence Interval","Treatment A P Value","Treatment A Significance","Treatment A Coverage","Treatment A Relative Global Lift","Treatment A Absolute Global Lift","Treatment B Value","Treatment B Exposure Volume","Treatment B Absolute Impact","Treatment B Absolute Impact Confidence Interval","Treatment B Relative Impact","Treatment B Relative Impact Confidence Interval","Treatment B P Value","Treatment B Significance","Treatment B Coverage","Treatment B Relative Global Lift","Treatment B Absolute Global Lift"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_hitch_ios","","mean","0.144084","1,661,489","0.143116","2,988,984","-0.003536","[-0.004614, -0.002458]","-0.024543","[-3.2024%, -1.7061%]","0.000000","Significant","0.022648","-0.000561","-0.000099","0.143565","1,607,407","-0.000625","[-0.001843, +0.000593]","-0.004341","[-1.2794%, +0.4112%]","0.314178","-","0.022648","-0.000080","-0.000014"
"page_dimension_cx_store_page","Dimension","cx_app_quality_hitch_ios","","mean","0.252538","3,012,364","0.252875","5,036,032","-0.006132","[-0.006667, -0.005598]","-0.024283","[-2.6398%, -2.2167%]","0.000000","Significant","0.063129","-0.002996","-0.000531","0.252400","2,921,247","-0.000003","[-0.000632, +0.000627]","-0.000010","[-0.2502%, +0.2482%]","0.993773","-","0.063129","0.000000","0.000000"
"cx_app_quality_homepage_backend_latency","Metric","N/A","","mean","1125.974096","6,891,404","1125.745795","6,686,517","-0.052600","[-0.437956, +0.332756]","-0.000047","[-0.0389%, +0.0296%]","0.789063","-","0.493551","-0.000024","-0.025952","1125.876886","6,683,996","-0.049088","[-0.434725, +0.336549]","-0.000044","[-0.0386%, +0.0299%]","0.802984","-","0.493551","-0.000023","-0.024228"
"cx_app_quality_homepage_backend_slo_burn","Metric","N/A","","mean","0.024091","6,891,404","0.024070","6,686,517","-0.000007","[-0.00006, +0.000046]","-0.000298","[-0.2505%, +0.1908%]","0.791046","-","0.493551","-0.000147","-0.000004","0.024106","6,683,996","0.000014","[-0.000039, +0.000067]","0.000585","[-0.1622%, +0.2793%]","0.603165","-","0.493551","0.000288","0.000007"
"cx_app_quality_inp_web","Metric","N/A","","mean","0.202271","97,483","0.200330","94,269","-0.001912","[-0.005178, +0.001355]","-0.009451","[-2.5601%, +0.67%]","0.251417","-","0.119021","-0.001036","-0.000229","0.202402","94,508","-0.000116","[-0.003365, +0.003133]","-0.000573","[-1.6636%, +1.549%]","0.944281","-","0.119021","-0.000063","-0.000014"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_inp_web","","mean","0.116521","22,194","0.118261","36,882","0.002806","[-0.002605, +0.008216]","0.024078","[-2.2353%, +7.051%]","0.309444","-","0.011108","0.000150","0.000033","0.116832","21,679","0.000284","[-0.005795, +0.006362]","0.002434","[-4.9731%, +5.46%]","0.927128","-","0.011108","0.000014","0.000003"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_inp_web","","mean","0.177331","49,812","0.182204","81,316","0.005038","[+0.001225, +0.008852]","0.028412","[+0.6907%, +4.9917%]","0.009613","Significant","0.033150","0.000811","0.000179","0.180554","48,165","0.003205","[-0.001102, +0.007513]","0.018075","[-0.6214%, +4.2365%]","0.144695","-","0.033150","0.000489","0.000108"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_inp_web","","mean","0.119152","22,985","0.116184","36,973","-0.001844","[-0.007267, +0.003579]","-0.015478","[-6.099%, +3.0035%]","0.505072","-","0.009131","-0.000081","-0.000018","0.113550","22,585","-0.005617","[-0.011462, +0.000229]","-0.047138","[-9.6197%, +0.192%]","0.059664","-","0.009131","-0.000234","-0.000052"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_inp_web","","mean","0.457813","18,965","0.457963","32,408","0.000984","[-0.00766, +0.009629]","0.002150","[-1.6733%, +2.1032%]","0.823412","-","0.007599","0.000035","0.000008","0.455983","18,690","-0.001605","[-0.011465, +0.008255]","-0.003506","[-2.5043%, +1.8032%]","0.749698","-","0.007599","-0.000057","-0.000013"
"page_dimension_cx_store_page","Dimension","cx_app_quality_inp_web","","mean","0.170167","33,188","0.168660","54,467","-0.000485","[-0.005226, +0.004257]","-0.002847","[-3.0713%, +2.5018%]","0.841259","-","0.021583","-0.000051","-0.000011","0.169738","32,362","0.000015","[-0.005251, +0.005281]","0.000088","[-3.086%, +3.1036%]","0.995543","-","0.021583","0.000000","0.000000"
"cx_app_quality_page_action_error_android","Metric","N/A","","mean","0.001416","42,144","0.001513","40,806","0.000099","[-0.000124, +0.000323]","0.070230","[-8.7519%, +22.7978%]","0.382895","-","0.020218","0.001787","0.000002","0.001445","40,648","0.000031","[-0.000198, +0.000259]","0.021553","[-13.9708%, +18.2815%]","0.793353","-","0.020218","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_page_action_error_android","","mean","0.000680","26,112","0.000776","43,615","0.000106","[-0.000069, +0.000281]","0.156354","[-10.0892%, +41.36%]","0.233550","-","0.007872","0.000000","0.000000","0.000820","25,161","0.000140","[-0.000074, +0.000354]","0.206273","[-10.8297%, +52.0843%]","0.198719","-","0.007872","0.000988","0.000001"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_page_action_error_android","","mean","0.000284","16,067","0.000489","27,274","0.000208","[-0.000058, +0.000474]","0.732560","[-20.5124%, +167.0245%]","0.125718","-","0.001795","0.000000","0.000000","0.000415","15,412","0.000130","[-0.000143, +0.000404]","0.459441","[-50.2205%, +142.1087%]","0.349066","-","0.001795","0.000000","0.000000"
"action_dimension_cx_place_order","Dimension","cx_app_quality_page_action_error_android","","mean","0.002901","25,324","0.003382","42,560","0.000504","[-0.00033, +0.001338]","0.173730","[-11.3746%, +46.1206%]","0.236230","-","0.002979","0.001500","0.000002","0.003731","24,460","0.000830","[-0.000252, +0.001912]","0.286073","[-8.6807%, +65.8953%]","0.132663","-","0.002979","0.002232","0.000002"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_page_action_error_android","","mean","0.002671","14,356","0.002795","24,714","0.000132","[-0.000625, +0.000888]","0.049271","[-23.3813%, +33.2356%]","0.733001","-","0.001480","0.000000","0.000000","0.002770","13,706","0.000102","[-0.000771, +0.000974]","0.038036","[-28.8624%, +36.4696%]","0.819478","-","0.001480","0.000000","0.000000"
"cx_app_quality_page_action_error_ios","Metric","N/A","","mean","0.002670","6,583,893","0.002671","6,388,353","0.000000","[-0.000027, +0.000028]","0.000106","[-1.025%, +1.0461%]","0.984034","-","0.572520","0.000000","0.000000","0.002662","6,385,794","-0.000009","[-0.000036, +0.000019]","-0.003269","[-1.3634%, +0.7095%]","0.536398","-","0.572520","-0.001645","-0.000005"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_page_action_error_ios","","mean","0.048462","192,382","0.041871","368,158","-0.006553","[-0.00853, -0.004576]","-0.135219","[-17.601%, -9.4429%]","0.000000","Significant","0.001705","-0.003765","-0.000011","0.046621","185,957","-0.001844","[-0.00418, +0.000491]","-0.038059","[-8.6244%, +1.0126%]","0.121602","-","0.001705","-0.001037","-0.000003"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_page_action_error_ios","","mean","0.003591","2,951,355","0.003141","4,984,788","-0.000404","[-0.000454, -0.000354]","-0.112623","[-12.6548%, -9.8697%]","0.000000","Significant","0.156522","-0.029000","-0.000088","0.003619","2,862,100","0.000029","[-0.000033, +0.000091]","0.008033","[-0.9257%, +2.5323%]","0.362499","-","0.156522","0.001488","0.000005"
"action_dimension_cx_create_address","Dimension","cx_app_quality_page_action_error_ios","","mean","0.000671","344,987","0.000700","599,009","0.000029","[-0.000202, +0.000261]","0.043371","[-30.1524%, +38.8266%]","0.805319","-","0.002362","0.000000","0.000000","0.000537","334,096","-0.000134","[-0.000363, +0.000095]","-0.199409","[-54.0523%, +14.1705%]","0.251895","-","0.002362","0.000000","0.000000"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_page_action_error_ios","","mean","0.002068","1,819,999","0.001984","3,312,728","-0.000050","[-0.000112, +0.000013]","-0.023962","[-5.4025%, +0.6101%]","0.118235","-","0.043056","-0.000861","-0.000003","0.002131","1,765,074","0.000062","[-0.000011, +0.000136]","0.030137","[-0.5496%, +6.577%]","0.097390","-","0.043056","0.000882","0.000003"
"action_dimension_cx_place_order","Dimension","cx_app_quality_page_action_error_ios","","mean","0.001448","4,549,353","0.001404","7,436,819","-0.000245","[-0.000298, -0.000193]","-0.169408","[-20.542%, -13.3396%]","0.000000","Significant","0.069309","-0.007605","-0.000023","0.001425","4,410,828","-0.000024","[-0.000086, +0.000039]","-0.016297","[-5.9521%, +2.6927%]","0.459924","-","0.069309","-0.000540","-0.000002"
"action_dimension_cx_set_address","Dimension","cx_app_quality_page_action_error_ios","","mean","0.000107","892,176","0.000107","1,633,863","0.000001","[-0.00002, +0.000022]","0.006091","[-19.1003%, +20.3184%]","0.951704","-","0.009729","0.000000","0.000000","0.000113","864,919","0.000006","[-0.000018, +0.00003]","0.056314","[-17.0659%, +28.3287%]","0.626767","-","0.009729","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_page_action_error_ios","","mean","0.000070","476,511","0.000071","990,188","0.000001","[-0.000025, +0.000028]","0.020175","[-35.5364%, +39.5714%]","0.916143","-","0.006803","0.000000","0.000000","0.000066","462,779","-0.000004","[-0.000034, +0.000025]","-0.062224","[-48.0661%, +35.6212%]","0.770699","-","0.006803","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_page_action_error_ios","","mean","0.002674","1,499,423","0.002456","2,888,900","-0.000176","[-0.000267, -0.000085]","-0.065920","[-9.9875%, -3.1965%]","0.000142","Significant","0.033010","-0.002418","-0.000007","0.002743","1,453,322","0.000069","[-0.000044, +0.000181]","0.025648","[-1.6299%, +6.7595%]","0.230756","-","0.033010","0.000746","0.000002"
"cx_app_quality_page_action_error_web","Metric","N/A","","mean","0.001277","108,013","0.001217","104,399","-0.000061","[-0.000256, +0.000135]","-0.047584","[-20.0744%, +10.5576%]","0.542573","-","0.122422","-0.004735","-0.000007","0.001167","105,021","-0.000109","[-0.000287, +0.000068]","-0.085619","[-22.4476%, +5.3237%]","0.226848","-","0.122422","-0.008582","-0.000014"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_page_action_error_web","","mean","0.000557","7,806","0.000449","12,592","-0.000106","[-0.000825, +0.000614]","-0.189401","[-148.0749%, +110.1947%]","0.773755","-","0.001779","0.000000","0.000000","0.000485","7,675","-0.000075","[-0.000835, +0.000684]","-0.135164","[-149.8671%, +122.8343%]","0.845948","-","0.001779","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_page_action_error_web","","mean","0.000873","35,868","0.000821","59,996","-0.000062","[-0.000347, +0.000223]","-0.070782","[-39.7049%, +25.5485%]","0.670687","-","0.025884","-0.001080","-0.000002","0.000816","34,850","-0.000055","[-0.000374, +0.000264]","-0.062925","[-42.8243%, +30.2394%]","0.735668","-","0.025884","-0.000905","-0.000001"
"action_dimension_cx_create_address","Dimension","cx_app_quality_page_action_error_web","","mean","0.000784","3,985","0.000271","5,792","-0.000525","[-0.002106, +0.001056]","-0.670299","[-268.7165%, +134.6566%]","0.514796","-","0.000800","0.000000","0.000000","0.002260","3,829","0.001477","[-0.001627, +0.004581]","1.884399","[-207.5117%, +584.3915%]","0.350934","-","0.000800","0.000745","0.000001"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_page_action_error_web","","mean","0.000495","26,868","0.000869","44,230","0.000375","[-0.000008, +0.000758]","0.758058","[-1.5762%, +153.1877%]","0.054853","-","0.012463","0.003079","0.000005","0.000588","26,414","0.000093","[-0.000233, +0.000419]","0.187710","[-47.1438%, +84.6859%]","0.576740","-","0.012463","0.000748","0.000001"
"action_dimension_cx_place_order","Dimension","cx_app_quality_page_action_error_web","","mean","0.001808","62,172","0.001307","100,876","-0.000473","[-0.000998, +0.000052]","-0.261744","[-55.1992%, +2.8504%]","0.077147","-","0.028548","-0.009170","-0.000014","0.001293","60,858","-0.000516","[-0.001063, +0.000031]","-0.285459","[-58.8108%, +1.719%]","0.064510","-","0.028548","-0.009378","-0.000015"
"action_dimension_cx_set_address","Dimension","cx_app_quality_page_action_error_web","","mean","0.001582","26,409","0.001288","43,100","-0.000279","[-0.001183, +0.000625]","-0.176408","[-74.7939%, +39.5123%]","0.545206","-","0.007296","-0.001444","-0.000002","0.001508","25,286","-0.000073","[-0.001051, +0.000905]","-0.046028","[-66.44%, +57.2343%]","0.884009","-","0.007296","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_page_action_error_web","","mean","0.002782","11,299","0.003386","19,621","0.000597","[-0.001035, +0.002228]","0.214476","[-37.2112%, +80.1064%]","0.473604","-","0.003499","0.001386","0.000002","0.002484","11,086","-0.000299","[-0.001644, +0.001046]","-0.107495","[-59.1123%, +37.6133%]","0.663100","-","0.003499","-0.000665","-0.000001"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_page_action_error_web","","mean","0.002245","18,274","0.001840","30,996","-0.000418","[-0.001307, +0.00047]","-0.186370","[-58.2233%, +20.9493%]","0.356144","-","0.007437","-0.002009","-0.000003","0.002436","17,814","0.000188","[-0.000883, +0.001259]","0.083633","[-39.3484%, +56.0751%]","0.731177","-","0.007437","0.000872","0.000001"
"cx_app_quality_page_load_error_android","Metric","N/A","","mean","0.003809","55,374","0.003874","53,783","0.000064","[-0.000097, +0.000225]","0.016828","[-2.5375%, +5.9031%]","0.434497","-","0.020316","0.000494","0.000001","0.004044","53,510","0.000232","[-0.000183, +0.000647]","0.061003","[-4.7955%, +16.9961%]","0.272491","-","0.020316","0.001786","0.000005"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_page_load_error_android","","mean","0.004889","25,128","0.005505","42,196","0.000662","[+0.000142, +0.001181]","0.135310","[+2.9119%, +24.1501%]","0.012510","Significant","0.001542","0.000436","0.000001","0.004800","24,319","-0.000078","[-0.000658, +0.000503]","-0.015854","[-13.4615%, +10.2906%]","0.793588","-","0.001542","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_page_load_error_android","","mean","0.005779","35,783","0.005544","59,694","-0.000215","[-0.000627, +0.000197]","-0.037143","[-10.8411%, +3.4124%]","0.307016","-","0.002742","0.000000","0.000000","0.005511","34,706","-0.000267","[-0.000743, +0.000209]","-0.046143","[-12.8509%, +3.6223%]","0.272201","-","0.002742","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_page_load_error_android","","mean","0.001421","27,609","0.001661","45,959","0.000235","[+0.000041, +0.00043]","0.165597","[+2.8521%, +30.2674%]","0.017896","Significant","0.002418","0.000000","0.000000","0.001495","26,571","0.000073","[-0.000141, +0.000287]","0.051348","[-9.8967%, +20.1663%]","0.503158","-","0.002418","0.000000","0.000000"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_page_load_error_android","","mean","0.008495","26,994","0.011347","45,157","0.002801","[+0.002135, +0.003467]","0.329729","[+25.1286%, +40.8172%]","0.000000","Significant","0.001945","0.002318","0.000006","0.009158","26,112","0.000658","[-0.000077, +0.001393]","0.077460","[-0.9121%, +16.4042%]","0.079518","-","0.001945","0.000489","0.000001"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_page_load_error_android","","mean","0.000364","30,289","0.000278","51,811","-0.000085","[-0.000203, +0.000033]","-0.233703","[-55.8105%, +9.0699%]","0.157955","-","0.003150","0.000000","0.000000","0.000353","29,327","-0.000011","[-0.000167, +0.000145]","-0.029792","[-45.8804%, +39.922%]","0.891738","-","0.003150","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_page_load_error_android","","mean","0.002610","18,082","0.002499","30,649","0.000099","[-0.000525, +0.000723]","0.037920","[-20.1005%, +27.6844%]","0.755751","-","0.000334","0.000000","0.000000","0.015043","17,418","0.012513","[-0.01162, +0.036647]","4.794769","[-445.26%, +1,404.2138%]","0.309514","-","0.000334","0.001673","0.000004"
"page_dimension_cx_store_page","Dimension","cx_app_quality_page_load_error_android","","mean","0.000727","30,311","0.000776","50,084","0.000053","[-0.000071, +0.000177]","0.073336","[-9.7016%, +24.3688%]","0.398807","-","0.001982","0.000000","0.000000","0.000679","29,081","-0.000047","[-0.000184, +0.00009]","-0.064356","[-25.2499%, +12.3788%]","0.502591","-","0.001982","0.000000","0.000000"
"cx_app_quality_page_load_error_ios","Metric","N/A","","mean","0.001232","6,944,506","0.001245","6,737,452","0.000013","[0, +0.000026]","0.010497","[-0.0328%, +2.1323%]","0.057360","-","0.562939","0.006388","0.000007","0.001232","6,735,197","0.000000","[-0.000013, +0.000013]","0.000061","[-1.0677%, +1.0799%]","0.991115","-","0.562939","0.000000","0.000000"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_page_load_error_ios","","mean","0.002555","2,831,331","0.002199","4,851,508","-0.000307","[-0.000381, -0.000233]","-0.120169","[-14.8964%, -9.1375%]","0.000000","Significant","0.022512","-0.009170","-0.000010","0.002617","2,745,654","0.000062","[-0.000031, +0.000155]","0.024252","[-1.1996%, +6.05%]","0.189745","-","0.022512","0.001303","0.000001"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_page_load_error_ios","","mean","0.001183","4,909,027","0.001103","7,920,685","-0.000068","[-0.000082, -0.000053]","-0.057137","[-6.9382%, -4.4891%]","0.000000","Significant","0.131748","-0.010861","-0.000012","0.001175","4,759,389","-0.000007","[-0.000024, +0.00001]","-0.006118","[-2.038%, +0.8144%]","0.400463","-","0.131748","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_page_load_error_ios","","mean","0.000458","3,128,830","0.000428","5,199,271","-0.000042","[-0.000053, -0.00003]","-0.091512","[-11.6756%, -6.6269%]","0.000000","Significant","0.044268","-0.002452","-0.000003","0.000453","3,035,644","-0.000005","[-0.000018, +0.000009]","-0.010053","[-4.0366%, +2.026%]","0.515689","-","0.044268","0.000000","0.000000"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_page_load_error_ios","","mean","0.003344","3,011,129","0.003007","5,085,594","-0.000294","[-0.000387, -0.000202]","-0.088064","[-11.5691%, -6.0438%]","0.000000","Significant","0.033313","-0.012375","-0.000013","0.003396","2,920,091","0.000053","[-0.000059, +0.000164]","0.015718","[-1.7535%, +4.8971%]","0.354209","-","0.033313","0.001635","0.000002"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_page_load_error_ios","","mean","0.001458","4,974,028","0.001124","8,043,652","-0.000298","[-0.000337, -0.000259]","-0.204247","[-23.1043%, -17.7451%]","0.000000","Significant","0.030368","-0.011696","-0.000013","0.001437","4,822,839","-0.000021","[-0.000069, +0.000027]","-0.014632","[-4.7554%, +1.829%]","0.383704","-","0.030368","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_page_load_error_ios","","mean","0.001200","2,326,705","0.001158","3,971,856","-0.000073","[-0.000125, -0.000022]","-0.061038","[-10.3819%, -1.8256%]","0.005169","Significant","0.010935","-0.000958","-0.000001","0.001135","2,250,217","-0.000065","[-0.000126, -0.000004]","-0.054254","[-10.4928%, -0.3579%]","0.035871","Significant","0.010935","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_page_load_error_ios","","mean","0.000040","3,517,753","0.000038","5,707,931","-0.000001","[-0.000004, +0.000001]","-0.036364","[-9.4294%, +2.1566%]","0.218581","-","0.054724","0.000000","0.000000","0.000042","3,411,119","0.000002","[-0.000001, +0.000005]","0.053032","[-1.679%, +12.2854%]","0.136579","-","0.054724","0.000000","0.000000"
"cx_app_quality_page_load_error_web","Metric","N/A","","mean","0.001287","178,275","0.001276","172,552","-0.000011","[-0.000137, +0.000116]","-0.008342","[-10.6796%, +9.0113%]","0.868110","-","0.096550","-0.000985","-0.000001","0.001279","173,542","-0.000007","[-0.000135, +0.000121]","-0.005507","[-10.5232%, +9.4219%]","0.913817","-","0.096550","0.000000","0.000000"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_page_load_error_web","","mean","0.008493","69,865","0.008054","113,097","-0.000354","[-0.001551, +0.000842]","-0.041722","[-18.2584%, +9.9141%]","0.561566","-","0.007120","-0.002645","-0.000003","0.008391","68,282","-0.000147","[-0.001536, +0.001241]","-0.017356","[-18.0874%, +14.6163%]","0.835206","-","0.007120","-0.001042","-0.000001"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_page_load_error_web","","mean","0.000104","107,547","0.000112","172,443","0.000009","[-0.000036, +0.000054]","0.087028","[-34.7243%, +52.1298%]","0.694485","-","0.015580","0.000000","0.000000","0.000093","104,949","-0.000011","[-0.000058, +0.000036]","-0.106664","[-55.874%, +34.5412%]","0.643767","-","0.015580","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_page_load_error_web","","mean","0.000708","71,980","0.000697","115,770","-0.000009","[-0.000115, +0.000097]","-0.012635","[-16.2916%, +13.7647%]","0.869115","-","0.019206","0.000000","0.000000","0.000668","70,322","-0.000039","[-0.000156, +0.000078]","-0.055404","[-22.099%, +11.0181%]","0.511955","-","0.019206","0.000000","0.000000"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_page_load_error_web","","mean","0.000171","80,098","0.000135","127,806","-0.000035","[-0.000098, +0.000029]","-0.203169","[-57.3403%, +16.7066%]","0.282132","-","0.009252","0.000000","0.000000","0.000151","78,430","-0.000020","[-0.000089, +0.000048]","-0.118743","[-51.9351%, +28.1865%]","0.561276","-","0.009252","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_page_load_error_web","","mean","0.000229","33,115","0.000170","54,852","-0.000058","[-0.000174, +0.000058]","-0.253238","[-75.9796%, +25.3319%]","0.327172","-","0.003100","0.000000","0.000000","0.000183","32,651","-0.000045","[-0.000173, +0.000083]","-0.198075","[-75.7704%, +36.1553%]","0.487863","-","0.003100","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_page_load_error_web","","mean","0.000340","81,910","0.000335","131,162","-0.000005","[-0.000086, +0.000075]","-0.015471","[-25.1805%, +22.0863%]","0.897907","-","0.016053","0.000000","0.000000","0.000309","80,053","-0.000031","[-0.000115, +0.000053]","-0.090492","[-33.8216%, +15.7232%]","0.474016","-","0.016053","0.000000","0.000000"
"cx_app_quality_page_load_latency_android","Metric","N/A","","mean","0.030755","55,048","0.031003","53,475","0.000050","[-0.000742, +0.000841]","0.001618","[-2.4122%, +2.7359%]","0.901933","-","0.020451","0.000031","0.000001","0.030333","53,219","-0.000174","[-0.000948, +0.000599]","-0.005667","[-3.081%, +1.9476%]","0.658654","-","0.020451","-0.000108","-0.000004"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_page_load_latency_android","","mean","0.008801","24,731","0.008811","41,187","-0.000152","[-0.000862, +0.000558]","-0.017291","[-9.7975%, +6.3394%]","0.674472","-","0.001690","0.000000","0.000000","0.008438","23,977","-0.000399","[-0.001188, +0.00039]","-0.045367","[-13.4991%, +4.4257%]","0.321141","-","0.001690","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_page_load_latency_android","","mean","0.080205","35,292","0.083101","57,861","-0.001054","[-0.003067, +0.000959]","-0.013139","[-3.8234%, +1.1956%]","0.304800","-","0.002732","-0.000100","-0.000003","0.080570","34,256","0.000233","[-0.002041, +0.002508]","0.002908","[-2.5448%, +3.1264%]","0.840694","-","0.002732","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_page_load_latency_android","","mean","0.008076","27,117","0.007854","44,796","-0.000494","[-0.001245, +0.000256]","-0.061218","[-15.4145%, +3.1709%]","0.196640","-","0.002610","-0.000044","-0.000001","0.007704","26,119","-0.000430","[-0.001226, +0.000366]","-0.053214","[-15.1774%, +4.5346%]","0.289957","-","0.002610","-0.000034","-0.000001"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_page_load_latency_android","","mean","0.008402","26,496","0.008393","43,936","-0.000209","[-0.000933, +0.000516]","-0.024821","[-11.1053%, +6.1411%]","0.572649","-","0.001326","0.000000","0.000000","0.008719","25,664","0.000278","[-0.00053, +0.001086]","0.033122","[-6.3056%, +12.9299%]","0.499691","-","0.001326","0.000000","0.000000"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_page_load_latency_android","","mean","0.038592","29,563","0.040249","49,832","-0.002208","[-0.004393, -0.000022]","-0.057203","[-11.3825%, -0.0581%]","0.047695","Significant","0.001428","-0.000109","-0.000004","0.037844","28,712","-0.001206","[-0.003612, +0.0012]","-0.031244","[-9.3591%, +3.1104%]","0.326014","-","0.001428","-0.000053","-0.000002"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_page_load_latency_android","","mean","0.022177","17,652","0.022523","29,754","0.000103","[-0.001808, +0.002013]","0.004627","[-8.1536%, +9.079%]","0.916178","-","0.000369","0.000000","0.000000","0.022302","17,010","0.000030","[-0.002111, +0.002172]","0.001370","[-9.5205%, +9.7946%]","0.977813","-","0.000369","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_page_load_latency_android","","mean","0.013347","29,632","0.012558","48,537","-0.001218","[-0.002395, -0.000041]","-0.091267","[-17.948%, -0.3055%]","0.042577","Significant","0.001918","-0.000081","-0.000003","0.012803","28,500","-0.000646","[-0.001882, +0.00059]","-0.048382","[-14.0992%, +4.4229%]","0.305872","-","0.001918","-0.000038","-0.000001"
"cx_app_quality_page_load_latency_ios","Metric","N/A","","mean","0.041815","6,944,097","0.041795","6,737,082","-0.000005","[-0.000073, +0.000064]","-0.000109","[-0.1739%, +0.1521%]","0.895721","-","0.578580","-0.000060","-0.000003","0.041841","6,734,768","0.000034","[-0.000034, +0.000102]","0.000811","[-0.0819%, +0.2441%]","0.329349","-","0.578580","0.000448","0.000020"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_page_load_latency_ios","","mean","0.009811","2,810,077","0.009254","4,716,068","-0.000622","[-0.000691, -0.000553]","-0.063381","[-7.0445%, -5.6316%]","0.000000","Significant","0.018674","-0.000372","-0.000016","0.009774","2,724,941","-0.000037","[-0.000121, +0.000046]","-0.003807","[-1.2284%, +0.467%]","0.378741","-","0.018674","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_page_load_latency_ios","","mean","0.082795","4,905,675","0.080056","7,623,751","-0.005713","[-0.005848, -0.005579]","-0.069006","[-7.0635%, -6.7377%]","0.000000","Significant","0.107632","-0.018324","-0.000811","0.082877","4,756,158","0.000089","[-0.000064, +0.000243]","0.001080","[-0.0773%, +0.2933%]","0.253278","-","0.107632","0.000218","0.000010"
"page_dimension_cx_item_page","Dimension","cx_app_quality_page_load_latency_ios","","mean","0.025520","3,106,690","0.024386","5,058,696","-0.002163","[-0.002272, -0.002054]","-0.084766","[-8.9045%, -8.0486%]","0.000000","Significant","0.040855","-0.002815","-0.000125","0.025552","3,014,406","0.000033","[-0.000096, +0.000161]","0.001282","[-0.3746%, +0.631%]","0.617229","-","0.040855","0.000030","0.000001"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_page_load_latency_ios","","mean","0.031141","3,013,452","0.029694","4,969,211","-0.002727","[-0.002864, -0.00259]","-0.087569","[-9.1961%, -8.3177%]","0.000000","Significant","0.025004","-0.002112","-0.000093","0.031189","2,922,796","0.000053","[-0.000104, +0.00021]","0.001703","[-0.3328%, +0.6734%]","0.507048","-","0.025004","0.000030","0.000001"
