"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","Treatment A Value","Treatment A Exposure Volume","Treatment A Absolute Impact","Treatment A Absolute Impact Confidence Interval","Treatment A Relative Impact","Treatment A Relative Impact Confidence Interval","Treatment A P Value","Treatment A Significance","Treatment A Coverage","Treatment A Relative Global Lift","Treatment A Absolute Global Lift","Treatment B Value","Treatment B Exposure Volume","Treatment B Absolute Impact","Treatment B Absolute Impact Confidence Interval","Treatment B Relative Impact","Treatment B Relative Impact Confidence Interval","Treatment B P Value","Treatment B Significance","Treatment B Coverage","Treatment B Relative Global Lift","Treatment B Absolute Global Lift"
"defect_ratio_overall","Metric","N/A","","mean","0.115457","6,972,158","0.115494","6,764,391","0.000042","[-0.000167, +0.00025]","0.000363","[-0.1444%, +0.2169%]","0.693973","-","0.521189","0.000190","0.000022","0.115416","6,761,916","-0.000048","[-0.000256, +0.000161]","-0.000414","[-0.2221%, +0.1393%]","0.653283","-","0.521189","-0.000217","-0.000025"
"doubledash_active_user","Metric","N/A","","mean","0.096523","6,972,158","0.097447","6,764,391","0.000874","[+0.000569, +0.001178]","0.009053","[+0.5896%, +1.2209%]","0.000000","Significant","0.584695","0.005293","0.005275","0.097295","6,761,916","0.000776","[+0.000471, +0.00108]","0.008035","[+0.488%, +1.1191%]","0.000001","Significant","0.584695","0.004698","0.004682"
"doubledash_l_28_d_mau","Metric","N/A","","mean","0.122631","6,972,158","0.123551","6,764,391","0.000864","[+0.000533, +0.001196]","0.007049","[+0.4346%, +0.9751%]","0.000000","Significant","0.402801","0.002839","0.002834","0.123341","6,761,916","0.000670","[+0.000339, +0.001001]","0.005464","[+0.2762%, +0.8166%]","0.000074","Significant","0.402801","0.002201","0.002197"
"doubledash_l_28_d_post_checkout_mau","Metric","N/A","","mean","0.101786","6,972,158","0.102635","6,764,391","0.000799","[+0.000491, +0.001108]","0.007853","[+0.4825%, +1.0881%]","0.000000","Significant","0.401900","0.003156","0.002621","0.102463","6,761,916","0.000627","[+0.000319, +0.000936]","0.006164","[+0.3138%, +0.9191%]","0.000066","Significant","0.401900","0.002477","0.002057"
"doubledash_l_28_d_pre_checkout_mau","Metric","N/A","","mean","0.032435","6,972,158","0.032644","6,764,391","0.000184","[+0.000002, +0.000365]","0.005661","[+0.0074%, +1.1248%]","0.047050","Significant","0.369298","0.002090","0.000602","0.032602","6,761,916","0.000163","[-0.000019, +0.000344]","0.005011","[-0.0577%, +1.0598%]","0.078812","-","0.369298","0.001850","0.000533"
"doubledash_post_checkout_active_user","Metric","N/A","","mean","0.082874","6,972,158","0.083765","6,764,391","0.000848","[+0.000561, +0.001134]","0.010228","[+0.6775%, +1.3682%]","0.000000","Significant","0.619134","0.006333","0.005117","0.083611","6,761,916","0.000738","[+0.000451, +0.001024]","0.008899","[+0.5447%, +1.2351%]","0.000000","Significant","0.619134","0.005510","0.004452"
"doubledash_post_checkout_wau","Metric","N/A","","mean","0.031037","6,972,158","0.031382","6,764,391","0.000357","[+0.000176, +0.000538]","0.011500","[+0.5664%, +1.7336%]","0.000112","Significant","0.186176","0.002141","0.001751","0.031323","6,761,916","0.000290","[+0.000109, +0.000471]","0.009340","[+0.3506%, +1.5174%]","0.001703","Significant","0.186176","0.001739","0.001422"
"doubledash_pre_checkout_active_user","Metric","N/A","","mean","0.020473","6,972,158","0.020572","6,764,391","0.000080","[-0.000067, +0.000226]","0.003883","[-0.3258%, +1.1024%]","0.286508","-","0.462292","0.001795","0.000480","0.020552","6,761,916","0.000080","[-0.000066, +0.000226]","0.003911","[-0.3229%, +1.1052%]","0.283015","-","0.462292","0.001808","0.000483"
"doubledash_pre_checkout_wau","Metric","N/A","","mean","0.009901","6,972,158","0.009921","6,764,391","0.000023","[-0.00008, +0.000126]","0.002307","[-0.8107%, +1.2722%]","0.664124","-","0.178135","0.000411","0.000112","0.009899","6,761,916","0.000001","[-0.000103, +0.000104]","0.000052","[-1.0358%, +1.0462%]","0.992120","-","0.178135","0.000009","0.000003"
"doubledash_wau","Metric","N/A","","mean","0.039492","6,972,158","0.039872","6,764,391","0.000392","[+0.00019, +0.000594]","0.009928","[+0.481%, +1.5046%]","0.000144","Significant","0.193991","0.001926","0.001924","0.039809","6,761,916","0.000324","[+0.000122, +0.000526]","0.008211","[+0.3094%, +1.3328%]","0.001661","Significant","0.193991","0.001593","0.001591"
"dp_paid_pause_cancel","Metric","N/A","","mean","0.024754","2,715,392","0.024688","2,635,468","-0.000066","[-0.000336, +0.000204]","-0.002656","[-1.3563%, +0.8252%]","0.633227","-","0.190788","-0.000507","-0.000021","0.024608","2,634,949","-0.000146","[-0.000416, +0.000124]","-0.005903","[-1.681%, +0.5003%]","0.288740","-","0.190788","-0.001126","-0.000047"
"dsmp_perc_mx_trialers","Metric","N/A","","mean","0.240406","6,809,161","0.240535","6,605,036","0.000079","[-0.000243, +0.000401]","0.000328","[-0.1012%, +0.1668%]","0.631304","-","0.591532","0.000192","0.000047","0.240265","6,604,075","-0.000135","[-0.000457, +0.000187]","-0.000560","[-0.1899%, +0.0779%]","0.412118","-","0.591532","-0.000328","-0.000080"
"first_contact_resolution_rate","Metric","N/A","","mean","0.907995","130,584","0.908321","126,776","0.000189","[-0.002255, +0.002634]","0.000209","[-0.2484%, +0.2901%]","0.879255","-","0.182003","0.000040","0.000035","0.907216","126,532","-0.000745","[-0.003093, +0.001603]","-0.000820","[-0.3406%, +0.1766%]","0.534213","-","0.182003","-0.000157","-0.000136"
"gov_per_order_curie","Metric","N/A","","mean","37.556868","6,827,107","37.519921","6,622,553","-0.037754","[-0.068105, -0.007403]","-0.001005","[-0.1813%, -0.0197%]","0.014768","Significant","0.593112","-0.000597","-0.022389","37.545119","6,621,505","-0.012329","[-0.042779, +0.018122]","-0.000328","[-0.1139%, +0.0483%]","0.427470","-","0.593112","-0.000195","-0.007313"
"hp_session_long_term_relevance_v_2","Metric","N/A","","mean","3.469517","5,216,233","3.469554","5,062,523","0.000115","[-0.001217, +0.001447]","0.000033","[-0.0351%, +0.0417%]","0.865455","-","0.403983","0.000013","0.000047","3.469552","5,060,681","0.000207","[-0.001124, +0.001539]","0.000060","[-0.0324%, +0.0444%]","0.760124","-","0.403983","0.000024","0.000084"
"hqdr_ratio","Metric","N/A","","mean","0.934204","6,959,204","0.934109","6,751,622","-0.000093","[-0.000246, +0.000061]","-0.000099","[-0.0263%, +0.0065%]","0.237111","-","0.600281","-0.000059","-0.000056","0.934160","6,749,130","-0.000048","[-0.000202, +0.000105]","-0.000052","[-0.0216%, +0.0113%]","0.536620","-","0.600281","-0.000031","-0.000029"
"mx_takehome_pay_7d","Metric","N/A","","mean","2712.322417","6,972,158","2708.403781","6,764,391","-2.546666","[-7.420027, +2.326696]","-0.000939","[-0.2736%, +0.0858%]","0.305733","-","0.201348","-0.000189","-1.701145","2713.699394","6,761,916","-0.868677","[-5.757685, +4.02033]","-0.000320","[-0.2123%, +0.1482%]","0.727656","-","0.201348","-0.000064","-0.580267"
"net_revenue_per_order","Metric","N/A","","mean","5.025239","6,939,184","5.019958","6,732,070","-0.004233","[-0.011101, +0.002635]","-0.000842","[-0.2209%, +0.0524%]","0.227055","-","0.523170","-0.000480","-0.002214","5.026052","6,729,921","0.001314","[-0.005547, +0.008174]","0.000261","[-0.1104%, +0.1627%]","0.707438","-","0.523170","0.000149","0.000687"
"nv_fco_all","Metric","N/A","","mean","7.638604","1,744,307","7.626693","1,691,861","-0.011412","[-0.027237, +0.004414]","-0.001494","[-0.3566%, +0.0578%]","0.157568","-","0.589809","-0.000892","-0.006725","7.622313","1,693,582","-0.015855","[-0.031839, +0.000128]","-0.002076","[-0.4168%, +0.0017%]","0.051861","-","0.589809","-0.001241","-0.009348"
"nv_hqfr","Metric","N/A","","mean","0.788844","1,319,171","0.788881","1,278,884","0.000020","[-0.000767, +0.000807]","0.000026","[-0.0972%, +0.1023%]","0.959836","-","0.597271","0.000015","0.000012","0.788998","1,279,244","0.000142","[-0.000643, +0.000928]","0.000180","[-0.0815%, +0.1176%]","0.722479","-","0.597271","0.000109","0.000085"
"nv_mau","Metric","N/A","","mean","0.288796","6,972,158","0.288512","6,764,391","-0.000263","[-0.00069, +0.000165]","-0.000910","[-0.2391%, +0.057%]","0.228031","-","0.438799","-0.000400","-0.000383","0.288997","6,761,916","0.000039","[-0.000389, +0.000467]","0.000135","[-0.1346%, +0.1616%]","0.858175","-","0.438799","0.000059","0.000057"
"o1_aov","Metric","N/A","","mean","38.176619","6,824,172","38.146352","6,619,576","-0.031565","[-0.062816, -0.000313]","-0.000827","[-0.1645%, -0.0008%]","0.047747","Significant","0.594354","-0.000491","-0.018756","38.169798","6,618,666","-0.007174","[-0.038522, +0.024173]","-0.000188","[-0.1009%, +0.0633%]","0.653743","-","0.594354","-0.000112","-0.004264"
"o1_gmv","Metric","N/A","","mean","145.718519","6,972,158","145.484361","6,764,391","-0.155857","[-0.314781, +0.003066]","-0.001070","[-0.216%, +0.0021%]","0.054587","-","0.594255","-0.000636","-0.096470","145.703025","6,761,916","-0.078054","[-0.237286, +0.081179]","-0.000536","[-0.1628%, +0.0557%]","0.336678","-","0.594255","-0.000318","-0.048313"
"o1_order_rate","Metric","N/A","","mean","3.816957","6,972,158","3.813847","6,764,391","-0.001665","[-0.005332, +0.002002]","-0.000436","[-0.1397%, +0.0525%]","0.373576","-","0.594366","-0.000259","-0.001031","3.817234","6,761,916","-0.000708","[-0.004375, +0.00296]","-0.000185","[-0.1146%, +0.0775%]","0.705282","-","0.594366","-0.000110","-0.000438"
"o1_order_rate_7d","Metric","N/A","","mean","1.281698","6,972,158","1.280788","6,764,391","-0.000352","[-0.002017, +0.001313]","-0.000274","[-0.1574%, +0.1025%]","0.678816","-","0.199609","-0.000055","-0.000218","1.282391","6,761,916","0.000313","[-0.001353, +0.001978]","0.000244","[-0.1056%, +0.1543%]","0.712973","-","0.199609","0.000049","0.000193"
