"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1  Value","treatment1  Exposure Volume","treatment1  Absolute Impact","treatment1  Absolute Impact Confidence Interval","treatment1  Relative Impact","treatment1  Relative Impact Confidence Interval","treatment1  P Value","treatment1  Significance","treatment1  Coverage","treatment1  Relative Global Lift","treatment1  Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"doubledash_pre_checkout_wau","Metric","N/A","","mean","0.013248","5,508,685","0.013915","5,676,380","0.000678","[+0.000545, +0.000812]","0.051192","[+4.1119%, +6.1265%]","0.000000","Significant","0.244724","0.012528","0.003147","0.013441","5,507,000","0.000200","[+0.000067, +0.000333]","0.015092","[+0.5029%, +2.5154%]","0.003287","Significant","0.244724","0.003693","0.000928"
"doubledash_wau","Metric","N/A","","mean","0.049096","5,508,685","0.049256","5,676,380","0.000187","[-0.00006, +0.000435]","0.003811","[-0.123%, +0.8851%]","0.138383","-","0.227883","0.000868","0.000868","0.049079","5,507,000","-0.000002","[-0.000251, +0.000247]","-0.000041","[-0.5114%, +0.5033%]","0.987446","-","0.227883","-0.000009","-0.000009"
"dsmp_gov","Metric","N/A","","mean","3702.121514","4,647,974","3701.638534","4,787,330","0.072267","[-2.723629, +2.868164]","0.000020","[-0.0736%, +0.0775%]","0.959596","-","0.437677","0.000008","0.031639","3702.185374","4,646,235","-0.006342","[-2.80917, +2.796486]","-0.000002","[-0.0759%, +0.0755%]","0.996462","-","0.437677","-0.000001","-0.002776"
"dsmp_mx_trial_rate","Metric","N/A","","mean","0.552186","5,508,685","0.551644","5,676,380","-0.000479","[-0.001492, +0.000534]","-0.000867","[-0.2702%, +0.0967%]","0.354199","-","0.418302","-0.000363","-0.000475","0.551489","5,507,000","-0.000550","[-0.001571, +0.00047]","-0.000996","[-0.2844%, +0.0852%]","0.290759","-","0.418302","-0.000417","-0.000545"
"dsmp_mx_trial_rate_14d","Metric","N/A","","mean","0.673304","2,910,713","0.672882","3,000,474","-0.000344","[-0.001926, +0.001239]","-0.000511","[-0.2861%, +0.184%]","0.670289","-","0.269641","-0.000138","-0.000180","0.672609","2,911,655","-0.000421","[-0.002015, +0.001173]","-0.000625","[-0.2992%, +0.1742%]","0.604805","-","0.269641","-0.000169","-0.000221"
"dsmp_mx_trial_rate_28d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dsmp_mx_trial_rate_7d","Metric","N/A","","mean","0.481525","5,313,043","0.480782","5,474,767","-0.000693","[-0.001605, +0.000219]","-0.001440","[-0.3333%, +0.0454%]","0.136211","-","0.351817","-0.000506","-0.000663","0.480940","5,311,533","-0.000470","[-0.001389, +0.000449]","-0.000976","[-0.2884%, +0.0932%]","0.316053","-","0.351817","-0.000343","-0.000449"
"dsmp_order_rate","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dsmp_order_rate_14d","Metric","N/A","","mean","3.560493","2,910,713","3.559566","3,000,474","-0.000634","[-0.005225, +0.003957]","-0.000178","[-0.1468%, +0.1111%]","0.786508","-","0.312984","-0.000056","-0.000203","3.556588","2,911,655","-0.002257","[-0.006874, +0.00236]","-0.000634","[-0.1931%, +0.0663%]","0.337976","-","0.312984","-0.000198","-0.000724"
"dsmp_order_rate_28d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
