"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","1200 Value","1200 Exposure Volume","600 Value","600 Exposure Volume","600 Absolute Impact","600 Absolute Impact Confidence Interval","600 Relative Impact","600 Relative Impact Confidence Interval","600 P Value","600 Significance","600 Coverage","600 Relative Global Lift","600 Absolute Global Lift","900 Value","900 Exposure Volume","900 Absolute Impact","900 Absolute Impact Confidence Interval","900 Relative Impact","900 Relative Impact Confidence Interval","900 P Value","900 Significance","900 Coverage","900 Relative Global Lift","900 Absolute Global Lift"
"hp_session_long_term_relevance_v_2","Metric","N/A","","mean","3.513120","10,820,234","3.513113","10,501,537","0.000285","[-0.00068, +0.00125]","0.000081","[-0.0193%, +0.0356%]","0.562174","-","0.723672","0.000059","0.000207","3.513431","10,500,620","0.000506","[-0.000445, +0.001457]","0.000144","[-0.0127%, +0.0415%]","0.297268","-","0.723672","0.000105","0.000366"
"hqdr_ratio","Metric","N/A","","mean","0.931748","12,109,018","0.931639","11,749,984","-0.000115","[-0.000223, -0.000006]","-0.000123","[-0.024%, -0.0006%]","0.038531","Significant","0.936366","-0.000115","-0.000107","0.931738","11,751,165","-0.000022","[-0.000131, +0.000086]","-0.000024","[-0.0141%, +0.0093%]","0.686986","-","0.936366","-0.000022","-0.000021"
"mx_takehome_pay_7d","Metric","N/A","","mean","3702.582700","14,250,410","3706.342809","13,824,741","0.614442","[-2.867577, +4.096462]","0.000166","[-0.0774%, +0.1106%]","0.729449","-","0.367284","0.000061","0.708727","3703.241484","13,824,745","0.681377","[-2.773239, +4.135993]","0.000184","[-0.0749%, +0.1117%]","0.699069","-","0.367284","0.000068","0.785933"
"net_revenue_per_order","Metric","N/A","","mean","4.830295","12,074,016","4.828389","11,716,440","-0.000796","[-0.005901, +0.004308]","-0.000165","[-0.1222%, +0.0892%]","0.759788","-","0.816579","-0.000146","-0.000650","4.829687","11,717,404","-0.000286","[-0.005385, +0.004813]","-0.000059","[-0.1115%, +0.0996%]","0.912411","-","0.816579","-0.000053","-0.000234"
"nv_fco_all","Metric","N/A","","mean","7.810635","3,456,928","7.811580","3,360,734","-0.000828","[-0.012689, +0.011033]","-0.000106","[-0.1625%, +0.1413%]","0.891189","-","0.952253","-0.000100","-0.000788","7.799624","3,360,447","-0.010799","[-0.022539, +0.000942]","-0.001383","[-0.2886%, +0.0121%]","0.071430","-","0.952253","-0.001309","-0.010283"
"nv_hqfr","Metric","N/A","","mean","0.780324","2,629,425","0.780147","2,555,128","-0.000085","[-0.000624, +0.000455]","-0.000109","[-0.08%, +0.0583%]","0.757604","-","0.950079","-0.000104","-0.000081","0.780611","2,555,473","0.000301","[-0.000238, +0.000841]","0.000386","[-0.0305%, +0.1077%]","0.273599","-","0.950079","0.000368","0.000286"
"nv_mau","Metric","N/A","","mean","0.234134","14,250,410","0.234639","13,824,741","0.000329","[+0.000049, +0.000609]","0.001405","[+0.0208%, +0.2601%]","0.021370","Significant","0.646383","0.000908","0.000868","0.234537","13,824,745","0.000177","[-0.000104, +0.000457]","0.000754","[-0.0442%, +0.1951%]","0.216630","-","0.646383","0.000488","0.000466"
"o1_aov","Metric","N/A","","mean","37.962340","12,080,591","37.969044","11,722,699","0.010118","[-0.012711, +0.032948]","0.000267","[-0.0335%, +0.0868%]","0.385010","-","0.937416","0.000249","0.009486","37.947137","11,723,866","-0.013326","[-0.035367, +0.008716]","-0.000351","[-0.0932%, +0.023%]","0.236044","-","0.937416","-0.000328","-0.012492"
"o1_gmv","Metric","N/A","","mean","171.236763","14,250,410","171.442663","13,824,741","0.055072","[-0.088231, +0.198375]","0.000322","[-0.0515%, +0.1158%]","0.451315","-","0.933286","0.000300","0.058709","171.266626","13,824,745","0.029597","[-0.112546, +0.17174]","0.000173","[-0.0657%, +0.1003%]","0.683200","-","0.933286","0.000161","0.031552"
"o1_order_rate","Metric","N/A","","mean","4.510701","14,250,410","4.515327","13,824,741","0.001571","[-0.001825, +0.004966]","0.000348","[-0.0405%, +0.1101%]","0.364666","-","0.937404","0.000326","0.001674","4.513295","13,824,745","0.001600","[-0.001795, +0.004995]","0.000355","[-0.0398%, +0.1107%]","0.355747","-","0.937404","0.000332","0.001705"
