"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_avg_o2_gov_alc","Metric","N/A","","mean","28.070848","85,100","28.098562","82,829","0.013846","[-0.221758, +0.24945]","0.000493","[-0.79%, +0.8886%]","0.908301","-","0.956550","0.000471","0.013242","27.942588","83,341","-0.126787","[-0.360823, +0.10725]","-0.004517","[-1.2854%, +0.3821%]","0.288331","-","0.956550","-0.004312","-0.121263"
"dbd_avg_o2_gov_flowers","Metric","N/A","","mean","37.459934","416","41.330358","425","3.198123","[-0.589513, +6.98576]","0.085375","[-1.5737%, +18.6486%]","0.097942","-","0.949669","0.080389","3.034211","39.445406","386","1.887586","[-2.520237, +6.295409]","0.050389","[-6.7278%, +16.8057%]","0.401286","-","0.949669","0.047453","1.791076"
"dbd_avg_o2_gov_grocery","Metric","N/A","","mean","26.625508","218,561","26.631371","212,335","-0.008572","[-0.174455, +0.157311]","-0.000322","[-0.6552%, +0.5908%]","0.919325","-","0.950664","-0.000306","-0.008150","26.695823","211,957","0.052880","[-0.111974, +0.217734]","0.001986","[-0.4206%, +0.8178%]","0.529548","-","0.950664","0.001887","0.050265"
"dbd_avg_o2_gov_nv","Metric","N/A","","mean","20.414695","833,452","20.420360","809,542","0.000049","[-0.063023, +0.063121]","0.000002","[-0.3087%, +0.3092%]","0.998780","-","0.953922","0.000002","0.000047","20.424105","811,312","0.012780","[-0.04999, +0.075549]","0.000626","[-0.2449%, +0.3701%]","0.689866","-","0.953922","0.000597","0.012189"
"dbd_avg_o2_gov_pets","Metric","N/A","","mean","36.855769","8,431","37.055436","8,165","0.189819","[-0.834374, +1.214012]","0.005150","[-2.2639%, +3.294%]","0.716418","-","0.956825","0.004916","0.181697","36.980852","8,167","0.150573","[-0.909897, +1.211043]","0.004085","[-2.4688%, +3.2859%]","0.780790","-","0.956825","0.003900","0.144134"
"dbd_avg_o2_gov_rx","Metric","N/A","","mean","19.555612","1,288,919","19.548101","1,252,176","-0.007545","[-0.043299, +0.02821]","-0.000386","[-0.2214%, +0.1443%]","0.679187","-","0.952461","-0.000367","-0.007186","19.550995","1,253,030","-0.005601","[-0.041146, +0.029945]","-0.000286","[-0.2104%, +0.1531%]","0.757461","-","0.952461","-0.000273","-0.005335"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.920058","1,870,415","0.920240","1,816,567","0.000208","[-0.000229, +0.000646]","0.000226","[-0.0249%, +0.0702%]","0.351351","-","0.953025","0.000216","0.000198","0.919951","1,818,741","-0.000097","[-0.000534, +0.00034]","-0.000105","[-0.058%, +0.037%]","0.664767","-","0.953025","-0.000100","-0.000092"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.907887","292,264","0.907859","285,413","-0.000026","[-0.00157, +0.001517]","-0.000029","[-0.173%, +0.1671%]","0.973218","-","0.106510","-0.000003","-0.000003","0.907493","284,730","-0.000394","[-0.001908, +0.001121]","-0.000434","[-0.2102%, +0.1234%]","0.610408","-","0.106510","-0.000046","-0.000042"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.905783","1,263,207","0.906132","1,227,537","0.000391","[-0.000183, +0.000965]","0.000432","[-0.0202%, +0.1066%]","0.182096","-","0.834644","0.000360","0.000326","0.905612","1,228,336","-0.000145","[-0.00072, +0.00043]","-0.000160","[-0.0795%, +0.0475%]","0.621921","-","0.834644","-0.000133","-0.000121"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_hqdr","","mean","0.908997","313,296","0.909287","304,029","0.000299","[-0.000827, +0.001425]","0.000329","[-0.091%, +0.1568%]","0.602719","-","0.208781","0.000069","0.000063","0.908285","304,704","-0.000635","[-0.001772, +0.000501]","-0.000699","[-0.1949%, +0.0551%]","0.273100","-","0.208781","-0.000146","-0.000133"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_hqdr","","mean","0.919885","44,278","0.921393","42,017","0.001600","[-0.001425, +0.004625]","0.001740","[-0.1549%, +0.5028%]","0.299864","-","0.025754","0.000046","0.000041","0.921262","41,968","0.001450","[-0.001556, +0.004456]","0.001576","[-0.1692%, +0.4844%]","0.344537","-","0.025754","0.000042","0.000038"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_hqdr","","mean","0.904576","1,171,072","0.904841","1,140,464","0.000304","[-0.000325, +0.000933]","0.000336","[-0.036%, +0.1032%]","0.343841","-","0.702867","0.000236","0.000214","0.904480","1,140,163","-0.000094","[-0.000721, +0.000534]","-0.000103","[-0.0797%, +0.059%]","0.769922","-","0.702867","-0.000073","-0.000066"
