Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_place_order,guardrail,treatment1,0.00801415,-0.00589037,-0.01966462,0.00788389,-0.00161265,-0.00004749,-0.00015854,0.00006356,-6.45e-6,0.4019458,-0.02755281,0.01577208,-0.00022214,0.00012716,1.0,4700391,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_place_order,guardrail,treatment1,0.00104164,0.00358622,-0.02629286,0.03346529,0.0,3.72e-6,-0.00002729,0.00003473,0.0,0.81401967,-0.04340391,0.05057635,-0.00004505,0.00005249,1.0,4694514,2025-03-14 13:41:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_place_order,guardrail,treatment3,0.00810705,0.00552438,-0.00891627,0.01996504,0.0015137,0.00004454,-0.00007189,0.00016097,6.05e-6,0.45337575,-0.0171861,0.02823487,-0.00013856,0.00022764,1.0,4701819,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_place_order,guardrail,treatment3,0.00103969,0.00173009,-0.02822766,0.03168783,0.0,1.8e-6,-0.0000293,0.00003289,0.0,0.90988013,-0.04538376,0.04884394,-0.0000471,0.0000507,1.0,4695746,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_place_order,guardrail,control,0.0010379,,,,,,,,,,,,,,,4839176,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_set_address,guardrail,treatment3,0.01649917,-0.01141012,-0.04085328,0.01803305,-0.00025079,-0.00019044,-0.00068185,0.00030097,-2.29e-6,0.44752649,-0.0577147,0.03489447,-0.00096326,0.00058239,1.0,612713,2025-03-14 13:41:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_set_address,guardrail,treatment3,0.0374965,0.02839041,-0.19007955,0.24686037,0.0,0.00101986,-0.00682816,0.00886788,0.0,0.79895524,-0.31519224,0.37197306,-0.01132255,0.01336226,1.0,4303,2025-03-14 13:41:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_set_address,guardrail,control,0.03592267,,,,,,,,,,,,,,,4507,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_set_address,guardrail,control,0.01669009,,,,,,,,,,,,,,,632472,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_set_address,guardrail,treatment1,0.0163478,-0.02059513,-0.05055693,0.00936666,-0.00045181,-0.00034373,-0.0008438,0.00015633,-4.13e-6,0.17790298,-0.06771535,0.02652508,-0.00113018,0.00044271,1.0,611727,2025-03-14 13:41:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_set_address,guardrail,treatment1,0.03320669,-0.07297481,-0.27603778,0.13008817,0.0,-0.00262145,-0.00991601,0.00467311,0.0,0.48121304,-0.39232725,0.24637764,-0.01409344,0.00885054,1.0,4307,2025-03-14 13:41:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_set_payment_method,guardrail,treatment1,0.00040251,-0.0681438,-0.21549142,0.07920381,0.0,-0.00002944,-0.00009311,0.00003422,0.0,0.36471151,-0.29987399,0.16358638,-0.00012957,0.00007068,1.0,511720,2025-03-14 13:41:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_set_payment_method,guardrail,control,0.00043208,,,,,,,,,,,,,,,527671,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_set_payment_method,guardrail,treatment1,0.01494106,-0.01212044,-0.03595073,0.01170985,-0.00023986,-0.00018331,-0.00054371,0.0001771,-2.19e-6,0.31882909,-0.04959778,0.0253569,-0.00075011,0.0003835,1.0,511997,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_set_payment_method,guardrail,control,0.01512389,,,,,,,,,,,,,,,527904,2025-03-14 13:41:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_set_payment_method,guardrail,treatment3,0.00045334,0.0494963,-0.09944496,0.19843756,0.0,0.00002139,-0.00004297,0.00008574,0.0,0.51482893,-0.18474018,0.28373278,-0.00007982,0.0001226,1.0,511214,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_set_payment_method,guardrail,treatment3,0.01481362,-0.02058476,-0.04417002,0.00300051,-0.00040697,-0.00031132,-0.00066802,0.00004538,-3.72e-6,0.08715164,-0.05767676,0.01650724,-0.0008723,0.00024965,0.69366458,511452,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_update_cart,guardrail,control,0.0137117,,,,,,,,,,,,,,,1503577,2025-03-14 13:41:25
