"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_post_checkout_fyp_carousel_item_depth","Metric","N/A","","mean","0.667318","41,615","0.665020","40,076","-0.001978","[-0.016928, +0.012973]","-0.002964","[-2.5367%, +1.944%]","0.795432","-","","","","0.652253","39,866","-0.015007","[-0.02988, -0.000133]","-0.022488","[-4.4777%, -0.02%]","0.047984","Significant","","",""
"dbd_post_checkout_order_rate","Metric","N/A","","mean","0.028816","275,156","0.028891","267,526","0.000137","[-0.000914, +0.001189]","0.004763","[-3.1721%, +4.1246%]","0.798061","-","0.004951","0.000024","0.000028","0.028626","266,262","0.000014","[-0.001028, +0.001056]","0.000486","[-3.5683%, +3.6655%]","0.978980","-","0.004951","0.000002","0.000003"
"dbd_post_checkout_order_rate_14d","Metric","N/A","","mean","0.026316","275,156","0.026349","267,526","0.000091","[-0.000896, +0.001077]","0.003457","[-3.4031%, +4.0944%]","0.856579","-","0.004521","0.000016","0.000019","0.026065","266,262","-0.000061","[-0.001038, +0.000916]","-0.002318","[-3.9429%, +3.4794%]","0.902576","-","0.004521","-0.000010","-0.000013"
"dbd_post_checkout_order_rate_28d","Metric","N/A","","mean","0.028809","275,156","0.028891","267,526","0.000144","[-0.000907, +0.001196]","0.005007","[-3.1484%, +4.1498%]","0.787993","-","0.004949","0.000025","0.000030","0.028622","266,262","0.000017","[-0.001025, +0.001059]","0.000591","[-3.5585%, +3.6766%]","0.974478","-","0.004949","0.000003","0.000004"
"dbd_post_checkout_order_rate_7d","Metric","N/A","","mean","0.020937","275,156","0.020996","267,526","0.000099","[-0.000729, +0.000928]","0.004749","[-3.4828%, +4.4325%]","0.814081","-","0.003597","0.000017","0.000021","0.020792","266,262","-0.000013","[-0.000841, +0.000816]","-0.000598","[-4.0151%, +3.8956%]","0.976377","-","0.003597","-0.000002","-0.000003"
"dbd_post_o2_vp_per_cx","Metric","N/A","","mean","-0.023418","275,156","-0.025254","267,526","-0.001891","[-0.008688, +0.004906]","-0.080750","[+37.1013%, -20.9513%]","0.585578","-","0.013463","0.001087","-0.000391","-0.027029","266,262","-0.003620","[-0.010329, +0.003089]","-0.154584","[+44.1068%, -13.1901%]","0.290251","-","0.013463","0.002081","-0.000749"
"dbd_postcheckout_search_avg_click_position","Metric","N/A","","mean","2.002791","382","2.190899","353","0.186662","[-0.874477, +1.247801]","0.093201","[-43.6629%, +62.3031%]","0.730266","-","0.001514","0.000127","0.000256","2.391892","306","0.388938","[-0.653174, +1.431049]","0.194198","[-32.6132%, +71.4528%]","0.464474","-","0.001514","0.000277","0.000557"
"dbd_postcheckout_search_back_button_ctr","Metric","N/A","","mean","0.195813","694","0.210457","665","0.014730","[-0.033227, +0.062688]","0.075226","[-16.9688%, +32.014%]","0.547168","-","0.001458","0.000104","0.000021","0.203414","603","0.007797","[-0.042668, +0.058262]","0.039819","[-21.79%, +29.7539%]","0.762023","-","0.001458","0.000056","0.000011"
"dbd_postcheckout_search_browse_button_ctr","Metric","N/A","","mean","0.272723","694","0.125007","665","-0.148042","[-0.365691, +0.069606]","-0.542829","[-134.0885%, +25.5226%]","0.182483","-","0.001526","-0.001081","-0.000343","0.342849","603","0.074870","[-0.224742, +0.374483]","0.274528","[-82.4066%, +137.3122%]","0.624292","-","0.001526","0.000440","0.000139"
"dbd_postcheckout_search_ctr","Metric","N/A","","mean","0.456628","50,732","0.453627","48,847","-0.003132","[-0.052148, +0.045883]","-0.006860","[-11.4201%, +10.0482%]","0.900324","-","0.001514","-0.000011","-0.000005","0.447344","48,659","-0.009547","[-0.064368, +0.045275]","-0.020907","[-14.0964%, +9.9151%]","0.732875","-","0.001514","-0.000030","-0.000013"
"dbd_postcheckout_search_nsr","Metric","N/A","","mean","0.155374","50,732","0.183829","48,847","0.028554","[-0.015508, +0.072616]","0.183779","[-9.9809%, +46.7366%]","0.204031","-","0.001514","0.000261","0.000045","0.186460","48,659","0.030875","[-0.014961, +0.076711]","0.198715","[-9.629%, +49.372%]","0.186759","-","0.001514","0.000250","0.000043"
"dbd_postcheckout_searched","Metric","N/A","","mean","0.006310","50,732","0.006121","48,847","-0.000204","[-0.000943, +0.000535]","-0.032356","[-14.9445%, +8.4734%]","0.588094","-","0.002692","0.000000","0.000000","0.005604","48,659","-0.000701","[-0.001446, +0.000043]","-0.111148","[-22.9142%, +0.6846%]","0.064856","-","0.002692","-0.000170","-0.000002"
"dbd_pre_checkout_order_rate","Metric","N/A","","mean","0.007883","275,156","0.007738","267,526","-0.000223","[-0.000831, +0.000384]","-0.028338","[-10.5424%, +4.8749%]","0.471217","-","0.003823","-0.000108","-0.000046","0.007718","266,262","-0.000139","[-0.000776, +0.000498]","-0.017628","[-9.845%, +6.3193%]","0.669017","-","0.003823","-0.000067","-0.000029"
"dbd_pre_checkout_order_rate_14d","Metric","N/A","","mean","0.004721","275,156","0.004680","267,526","-0.000104","[-0.000586, +0.000379]","-0.021938","[-12.4213%, +8.0337%]","0.674183","-","0.002290","-0.000050","-0.000021","0.004687","266,262","-0.000013","[-0.000512, +0.000486]","-0.002800","[-10.855%, +10.2951%]","0.958616","-","0.002290","-0.000006","-0.000003"
"dbd_pre_checkout_order_rate_28d","Metric","N/A","","mean","0.005571","275,156","0.005461","267,526","-0.000184","[-0.000721, +0.000353]","-0.033007","[-12.9411%, +6.3397%]","0.502182","-","0.002702","-0.000089","-0.000038","0.005468","266,262","-0.000078","[-0.000649, +0.000492]","-0.014084","[-11.6504%, +8.8337%]","0.787536","-","0.002702","-0.000038","-0.000016"
"dbd_pre_checkout_order_rate_7d","Metric","N/A","","mean","0.002806","275,156","0.002740","267,526","-0.000104","[-0.000438, +0.000231]","-0.037000","[-15.6172%, +8.2172%]","0.542842","-","0.001361","-0.000050","-0.000021","0.002727","266,262","-0.000066","[-0.000415, +0.000282]","-0.023677","[-14.7994%, +10.0641%]","0.708936","-","0.001361","-0.000032","-0.000014"
"dbd_total_o2_gmv_1pc","Metric","N/A","","mean","0.006537","275,156","0.008177","267,526","0.001664","[-0.000712, +0.004039]","0.254493","[-10.8927%, +61.7913%]","0.169905","-","0.002384","0.000607","0.000040","0.006256","266,262","-0.000233","[-0.002421, +0.001954]","-0.035678","[-37.0336%, +29.8981%]","0.834488","-","0.002384","-0.000085","-0.000006"
"dbd_total_o2_gmv_3pc","Metric","N/A","","mean","0.083719","275,156","0.087789","267,526","0.003294","[-0.005111, +0.011699]","0.039341","[-6.1055%, +13.9737%]","0.442470","-","0.002887","0.000114","0.000079","0.085966","266,262","0.002579","[-0.00547, +0.010628]","0.030803","[-6.534%, +12.6946%]","0.530037","-","0.002887","0.000089","0.000062"
"dbd_total_o2_gmv_alc","Metric","N/A","","mean","0.049398","275,156","0.050382","267,526","0.000793","[-0.008674, +0.01026]","0.016058","[-17.559%, +20.7707%]","0.869552","-","0.006412","0.000103","0.000019","0.050912","266,262","0.001550","[-0.007946, +0.011046]","0.031378","[-16.085%, +22.3607%]","0.749020","-","0.006412","0.000201","0.000037"
"dbd_total_o2_gmv_flowers","Metric","N/A","","mean","0.000630","275,156","0.000317","267,526","-0.000314","[-0.001127, +0.000499]","-0.497613","[-178.6777%, +79.1551%]","0.449325","-","0.020297","-0.010100","-0.000008","0.000941","266,262","0.000311","[-0.00095, +0.001571]","0.492801","[-150.6506%, +249.2109%]","0.629022","-","0.020297","0.010003","0.000007"
"dbd_total_o2_gmv_grocery","Metric","N/A","","mean","0.077341","275,156","0.080828","267,526","0.003037","[-0.008322, +0.014396]","0.039270","[-10.7597%, +18.6137%]","0.600233","-","0.003530","0.000139","0.000073","0.080396","266,262","0.003413","[-0.007802, +0.014628]","0.044129","[-10.0872%, +18.9131%]","0.550846","-","0.003530","0.000156","0.000082"
"dbd_total_o2_gmv_nv","Metric","N/A","","mean","0.223558","275,156","0.231019","267,526","0.005273","[-0.012451, +0.022998]","0.023588","[-5.5694%, +10.2871%]","0.559807","-","0.003534","0.000083","0.000126","0.233668","266,262","0.010629","[-0.007141, +0.028399]","0.047543","[-3.1943%, +12.703%]","0.241069","-","0.003534","0.000168","0.000255"
"dbd_total_o2_gmv_pets","Metric","N/A","","mean","0.001638","275,156","0.000841","267,526","-0.000796","[-0.001929, +0.000337]","-0.486159","[-117.8034%, +20.5715%]","0.168448","-","0.002085","-0.001013","-0.000019","0.002566","266,262","0.000930","[-0.001194, +0.003053]","0.567567","[-72.8754%, +186.3889%]","0.390821","-","0.002085","0.001183","0.000022"
"dbd_total_o2_gmv_rx","Metric","N/A","","mean","0.522791","275,156","0.516893","267,526","-0.003497","[-0.029914, +0.022921]","-0.006688","[-5.722%, +4.3843%]","0.795311","-","0.005355","-0.000036","-0.000084","0.517856","266,262","-0.001836","[-0.027449, +0.023777]","-0.003513","[-5.2505%, +4.548%]","0.888248","-","0.005355","-0.000019","-0.000044"
"dbd_total_o2_orders_1pc","Metric","N/A","","mean","0.000396","275,156","0.000478","267,526","0.000082","[-0.000038, +0.000202]","0.207347","[-9.5461%, +51.0155%]","0.179570","-","0.002793","0.000579","0.000002","0.000394","266,262","-0.000002","[-0.000115, +0.000112]","-0.004123","[-29.0797%, +28.2551%]","0.977512","-","0.002793","0.000000","0.000000"
"dbd_total_o2_orders_3pc","Metric","N/A","","mean","0.005957","275,156","0.006026","267,526","0.000070","[-0.000433, +0.000572]","0.011666","[-7.2662%, +9.5995%]","0.786280","-","0.003330","0.000039","0.000002","0.006111","266,262","0.000159","[-0.000344, +0.000662]","0.026712","[-5.7686%, +11.1109%]","0.535045","-","0.003330","0.000089","0.000004"
"dbd_total_o2_orders_alc","Metric","N/A","","mean","0.001795","275,156","0.001873","267,526","0.000079","[-0.000194, +0.000351]","0.043755","[-10.8074%, +19.5585%]","0.572185","-","0.006624","0.000290","0.000002","0.001908","266,262","0.000115","[-0.000157, +0.000387]","0.064088","[-8.7556%, +21.5732%]","0.407489","-","0.006624","0.000425","0.000003"
"dbd_total_o2_orders_flowers","Metric","N/A","","mean","0.000018","275,156","0.000011","267,526","-0.000007","[-0.000027, +0.000013]","-0.388933","[-151.2818%, +73.4951%]","0.497601","-","0.022886","0.000000","0.000000","0.000011","266,262","-0.000007","[-0.000027, +0.000013]","-0.389049","[-151.3962%, +73.5864%]","0.497867","-","0.022886","0.000000","0.000000"
