"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_nd","","mean","0.003078","6,056","0.003664","6,266","0.000586","[-0.000904, +0.002076]","0.190411","[-29.3568%, +67.4389%]","0.440645","-","0.003958","0.000660","0.000002","0.003704","5,811","0.000617","[-0.000948, +0.002183]","0.200623","[-30.8116%, +70.9363%]","0.439570","-","0.003958","0.000660","0.000002"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_nd","","mean","0.002662","2,586","0.002868","2,745","0.000206","[-0.00259, +0.003003]","0.077513","[-97.3176%, +112.8202%]","0.885032","-","0.000943","0.000000","0.000000","0.004022","2,643","0.001360","[-0.001724, +0.004445]","0.511057","[-64.7722%, +166.9837%]","0.387366","-","0.000943","0.000356","0.000001"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_nd","","mean","0.003690","22,552","0.003899","23,510","0.000208","[-0.000549, +0.000964]","0.056277","[-14.8801%, +26.1355%]","0.590682","-","0.017248","0.001019","0.000004","0.003448","22,146","-0.000241","[-0.000998, +0.000516]","-0.065394","[-27.051%, +13.9722%]","0.532061","-","0.017248","-0.001135","-0.000004"
"dbd_avg_o2_package","Metric","N/A","","mean","0.701565","24,750","0.703230","25,869","0.001912","[-0.005034, +0.008858]","0.002725","[-0.7176%, +1.2626%]","0.589560","-","0.018217","0.000051","0.000036","0.699477","24,426","-0.002052","[-0.009049, +0.004944]","-0.002926","[-1.2898%, +0.7047%]","0.565292","-","0.018217","-0.000053","-0.000037"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_package","","mean","0.692423","3,774","0.697134","3,840","0.004762","[-0.013079, +0.022602]","0.006877","[-1.8888%, +3.2642%]","0.600895","-","0.002556","0.000017","0.000012","0.693974","3,671","0.002222","[-0.015503, +0.019948]","0.003210","[-2.239%, +2.8809%]","0.805883","-","0.002556","0.000008","0.000006"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_package","","mean","0.696456","13,375","0.701952","14,590","0.005860","[-0.004037, +0.015757]","0.008414","[-0.5796%, +2.2625%]","0.245848","-","0.009069","0.000078","0.000055","0.693182","13,624","-0.003268","[-0.013222, +0.006685]","-0.004693","[-1.8985%, +0.9599%]","0.519860","-","0.009069","-0.000041","-0.000029"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_package","","mean","0.700886","8,549","0.697869","8,537","-0.002393","[-0.014062, +0.009277]","-0.003414","[-2.0063%, +1.3236%]","0.687792","-","0.005391","-0.000019","-0.000013","0.701976","8,176","0.001355","[-0.01037, +0.01308]","0.001933","[-1.4795%, +1.8662%]","0.820821","-","0.005391","0.000010","0.000007"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_package","","mean","0.664259","2,586","0.671689","2,743","0.007431","[-0.017704, +0.032566]","0.011187","[-2.6652%, +4.9025%]","0.562292","-","0.000943","0.000010","0.000007","0.663863","2,642","-0.000396","[-0.026586, +0.025795]","-0.000596","[-4.0024%, +3.8833%]","0.976378","-","0.000943","0.000000","0.000000"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_package","","mean","0.703566","22,550","0.704879","23,503","0.001559","[-0.005628, +0.008745]","0.002215","[-0.7999%, +1.2429%]","0.670781","-","0.017245","0.000040","0.000028","0.701500","22,142","-0.002019","[-0.009248, +0.005209]","-0.002870","[-1.3144%, +0.7404%]","0.584023","-","0.017245","-0.000049","-0.000035"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_package","","mean","0.667766","21,118","0.670293","22,196","0.002995","[-0.004819, +0.010809]","0.004486","[-0.7216%, +1.6188%]","0.452469","-","0.014273","0.000063","0.000044","0.667964","21,011","0.000344","[-0.007527, +0.008215]","0.000515","[-1.1272%, +1.2303%]","0.931702","-","0.014273","0.000007","0.000005"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_package","","mean","0.821372","6,056","0.820870","6,263","-0.000550","[-0.013596, +0.012495]","-0.000670","[-1.6552%, +1.5213%]","0.934126","-","0.003957","-0.000003","-0.000002","0.816472","5,808","-0.005075","[-0.018234, +0.008083]","-0.006179","[-2.2199%, +0.9841%]","0.449684","-","0.003957","-0.000028","-0.000020"
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.671960","25,194","0.673485","26,329","0.001991","[-0.005201, +0.009183]","0.002963","[-0.774%, +1.3666%]","0.587445","-","0.018185","0.000056","0.000038","0.669651","24,801","-0.002407","[-0.009526, +0.004713]","-0.003581","[-1.4177%, +0.7014%]","0.507668","-","0.018185","-0.000065","-0.000044"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_sdb","","mean","0.658575","3,841","0.667915","3,901","0.009391","[-0.009291, +0.028072]","0.014259","[-1.4108%, +4.2626%]","0.324530","-","0.002550","0.000036","0.000024","0.660336","3,722","0.002705","[-0.015669, +0.02108]","0.004108","[-2.3793%, +3.2008%]","0.772925","-","0.002550","0.000010","0.000007"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_sdb","","mean","0.678600","13,635","0.683874","14,839","0.006036","[-0.003914, +0.015985]","0.008894","[-0.5768%, +2.3556%]","0.234464","-","0.009034","0.000083","0.000056","0.675727","13,865","-0.002753","[-0.012687, +0.00718]","-0.004057","[-1.8695%, +1.0581%]","0.586981","-","0.009034","-0.000036","-0.000025"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_sdb","","mean","0.664002","8,733","0.657604","8,706","-0.005159","[-0.01754, +0.007222]","-0.007770","[-2.6416%, +1.0876%]","0.414085","-","0.005394","-0.000043","-0.000029","0.663267","8,315","-0.000893","[-0.013094, +0.011309]","-0.001344","[-1.972%, +1.7031%]","0.885986","-","0.005394","-0.000007","-0.000005"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_sdb","","mean","0.656263","21,524","0.659074","22,621","0.003405","[-0.004387, +0.011197]","0.005188","[-0.6685%, +1.7061%]","0.391778","-","0.014270","0.000074","0.000050","0.653839","21,360","-0.002321","[-0.010135, +0.005493]","-0.003536","[-1.5444%, +0.8371%]","0.560491","-","0.014270","-0.000049","-0.000033"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_sdb","","mean","0.727978","6,144","0.725140","6,373","-0.004192","[-0.02089, +0.012506]","-0.005758","[-2.8696%, +1.7179%]","0.622681","-","0.003937","-0.000025","-0.000017","0.728535","5,893","-0.002942","[-0.018973, +0.013088]","-0.004042","[-2.6062%, +1.7979%]","0.719050","-","0.003937","-0.000017","-0.000011"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_sdb","","mean","0.646053","2,686","0.649776","2,836","0.003551","[-0.021502, +0.028605]","0.005497","[-3.3283%, +4.4276%]","0.781160","-","0.000957","0.000005","0.000003","0.636716","2,723","-0.009344","[-0.03493, +0.016243]","-0.014463","[-5.4067%, +2.5142%]","0.474161","-","0.000957","-0.000013","-0.000009"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_sdb","","mean","0.673379","22,904","0.674746","23,880","0.001868","[-0.005595, +0.009331]","0.002774","[-0.8308%, +1.3857%]","0.623699","-","0.017202","0.000050","0.000033","0.671550","22,442","-0.001865","[-0.009245, +0.005515]","-0.002769","[-1.3729%, +0.819%]","0.620422","-","0.017202","-0.000048","-0.000032"
"dbd_bottom_sheet_load_latency_ios","Metric","N/A","","mean","0.164055","34,201","0.166325","32,969","0.002238","[-0.001952, +0.006427]","0.013640","[-1.1897%, +3.9176%]","0.295164","-","0.003917","0.000053","0.000009","0.165563","33,355","0.000945","[-0.003221, +0.005112]","0.005763","[-1.9632%, +3.1159%]","0.656477","-","0.003917","0.000022","0.000004"
