"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_dx_cost","","mean","3.987140","4,355","3.985576","4,348","-0.009388","[-0.143265, +0.124489]","-0.002355","[-3.5932%, +3.1223%]","0.890686","-","0.001828","-0.000004","-0.000018","4.095456","4,271","0.107289","[-0.032572, +0.24715]","0.026909","[-0.8169%, +6.1987%]","0.132706","-","0.001828","0.000047","0.000195"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_dx_cost","","mean","4.234303","8,591","4.268051","8,293","0.016911","[-0.077173, +0.110996]","0.003994","[-1.8226%, +2.6214%]","0.724614","-","0.004253","0.000017","0.000072","4.236491","8,322","-0.010345","[-0.103326, +0.082635]","-0.002443","[-2.4402%, +1.9516%]","0.827375","-","0.004253","-0.000010","-0.000043"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.007859","198,200","4.020130","187,980","0.006355","[-0.016206, +0.028916]","0.001586","[-0.4044%, +0.7215%]","0.580884","-","0.094051","0.000142","0.000595","4.019135","187,699","0.010945","[-0.010954, +0.032844]","0.002731","[-0.2733%, +0.8195%]","0.327306","-","0.094051","0.000244","0.001019"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.002994","56,167","3.915137","72,751","-0.048148","[-0.086046, -0.010251]","-0.012028","[-2.1495%, -0.2561%]","0.012770","Significant","0.028912","-0.000332","-0.001389","3.916953","70,338","-0.051275","[-0.089907, -0.012643]","-0.012809","[-2.246%, -0.3158%]","0.009285","Significant","0.028912","-0.000351","-0.001469"
"dbd_avg_o2_gov_1pc","Metric","N/A","","mean","20.121568","8,927","19.694228","9,387","-0.401841","[-0.929473, +0.12579]","-0.019971","[-4.6193%, +0.6252%]","0.135516","-","0.118758","-0.002575","-0.048111","19.762595","8,852","-0.368387","[-0.858385, +0.121612]","-0.018308","[-4.266%, +0.6044%]","0.140610","-","0.118758","-0.002410","-0.045025"
"dbd_avg_o2_gov_3pc","Metric","N/A","","mean","17.578325","104,275","17.476902","102,245","-0.100177","[-0.218334, +0.01798]","-0.005699","[-1.2421%, +0.1023%]","0.096570","-","0.156204","-0.000962","-0.015679","17.456264","101,848","-0.120052","[-0.237424, -0.002679]","-0.006830","[-1.3507%, -0.0152%]","0.044995","Significant","0.156204","-0.001142","-0.018620"
"dbd_avg_o2_gov_alc","Metric","N/A","","mean","26.202860","18,225","25.785871","17,658","-0.428190","[-0.89551, +0.039129]","-0.016341","[-3.4176%, +0.1493%]","0.072518","-","0.149489","-0.002314","-0.064651","25.983771","17,549","-0.324736","[-0.793321, +0.14385]","-0.012393","[-3.0276%, +0.549%]","0.174375","-","0.149489","-0.001733","-0.048428"
"dbd_avg_o2_gov_flowers","Metric","N/A","","mean","37.304177","29","40.943714","32","2.196537","[-9.981849, +14.374923]","0.058882","[-26.758%, +38.5344%]","0.723709","-","0.066283","0.003798","0.148741","33.745002","42","-3.559175","[-16.333306, +9.214956]","-0.095410","[-43.7841%, +24.7022%]","0.585002","-","0.066283","-0.005912","-0.231509"
"dbd_avg_o2_gov_grocery","Metric","N/A","","mean","28.221744","45,559","27.831065","44,676","-0.393093","[-0.742986, -0.043199]","-0.013929","[-2.6327%, -0.1531%]","0.027669","Significant","0.155464","-0.002328","-0.061548","27.845913","44,707","-0.327126","[-0.67852, +0.024268]","-0.011591","[-2.4042%, +0.086%]","0.068061","-","0.155464","-0.001928","-0.050978"
"dbd_avg_o2_gov_nv","Metric","N/A","","mean","21.373945","154,973","21.180499","152,137","-0.196828","[-0.337535, -0.056121]","-0.009209","[-1.5792%, -0.2626%]","0.006112","Significant","0.152324","-0.001484","-0.030148","21.199950","151,638","-0.167418","[-0.307309, -0.027526]","-0.007833","[-1.4378%, -0.1288%]","0.018995","Significant","0.152324","-0.001250","-0.025399"
